"rxnID"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"	"reverse"
"R03634"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	"Stachyose + H2O <=> Raffinose + D-Galactose"	"NONE"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R04019"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" Digalactosylceramide + H2O <=> Galactosylceramide + D-Galactose"	"Digalactosylceramide galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	"MNXR108596"	"MNXR108596"	"5 `H(+)` + 1 `digalactosylceramide` + 1 `H2O` = 1 `alpha-D-galactose` + 1 `an N-acyl-beta-D-galactosyl-sphing-4-enine`"	"ambiguous"	"5 MNXM1@MNXD1 + 1 MNXM1921@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM545@MNXD1"	NA	"not sure"
"R04470"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" Digalactosyl-diacylglycerol + H2O <=> 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol + D-Galactose"	"Digalactosyl-diacylglycerol galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R05549"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	"D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose + H2O <=> D-Galactose + Melibiose"	"NONE"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R05961"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	"H2O + Globotriaosylceramide <=> D-Galactose + Lactosylceramide"	"NONE"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R06091"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	"Melibiose + H2O <=> D-Galactose + D-Glucose"	"NONE"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R00465"	"164-augustus_masked-2357-ARB_2"	" Glycolate + NADP+ <=> Glyoxylate + NADPH + H+"	"glycolate:NADP+ oxidoreductase"	"K00090"	"path:map00030;path:map00260;path:map00620;path:map00630;path:map01100;path:map01110;path:map01120"	"sce00030  Pentose phosphate pathway;sce00260  Glycine, serine and threonine metabolism;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments"	"rhea:10992"	"NA"	NA	"MNXR100332"	"1 `H(+)` + 1 `NADPH` + 1 `glyoxylate` = 1 `glycolate` + 1 `NADP(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM6@MNXD1 + 1 MNXM69@MNXD1 = 1 MNXM222@MNXD1 + 1 MNXM5@MNXD1"	"glycolate + NADP(+) => glyoxylate + H(+) + NADPH;glyoxylate + H(+) + NADPH => glycolate + NADP(+)"	"yes"
"R01392"	"164-augustus_masked-2357-ARB_2"	" D-Glycerate + NADP+ <=> Hydroxypyruvate + NADPH + H+"	"D-Glycerate:NADP+ 2-oxidoreductase"	"K00090"	"path:map00030;path:map00260;path:map00620;path:map00630;path:map01100;path:map01110;path:map01120"	"sce00030  Pentose phosphate pathway;sce00260  Glycine, serine and threonine metabolism;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments"	"rhea:18657"	"NA"	NA	"MNXR100336"	"1 `D-glycerate` + 1 `NADP(+)` = 1 `H(+)` + 1 `3-hydroxypyruvate` + 1 `NADPH`"	"true"	"1 MNXM189@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM392@MNXD1 + 1 MNXM6@MNXD1"	"D-glycerate + NADP(+) => 3-hydroxypyruvate + H(+) + NADPH;3-hydroxypyruvate + H(+) + NADPH => D-glycerate + NADP(+)"	"yes"
"R01739"	"164-augustus_masked-2357-ARB_2"	" D-Gluconic acid + NADP+ <=> 2-Keto-D-gluconic acid + NADPH + H+"	"D-gluconate:NADP+ 2-oxidoreductase"	"K00090"	"path:map00030;path:map00260;path:map00620;path:map00630;path:map01100;path:map01110;path:map01120"	"sce00030  Pentose phosphate pathway;sce00260  Glycine, serine and threonine metabolism;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments"	"rhea:16653"	"NA"	NA	"MNXR94784"	"1 `H(+)` + 1 `2-dehydro-D-gluconate` + 1 `NADPH` = 1 `D-gluconate` + 1 `NADP(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM582@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM341@MNXD1 + 1 MNXM5@MNXD1"	"D-gluconate + NADP(+) => 2-dehydro-D-gluconate + H(+) + NADPH;2-dehydro-D-gluconate + H(+) + NADPH => D-gluconate + NADP(+)"	"yes"
"R01602"	"901-augustus_masked-CPN_4-15553"	" alpha-D-Glucose <=> beta-D-Glucose"	"D-glucose 1-epimerase"	"K01785"	"path:map00010;path:map00052;path:map01100;path:map01110;path:map01120;path:map01130"	"sce00010  Glycolysis / Gluconeogenesis;sce00052  Galactose metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics"	"rhea:10264"	"NA"	NA	"MNXR107082"	"1 `beta-D-glucose` = 1 `alpha-D-glucose`"	"true"	"1 MNXM105@MNXD1 = 1 MNXM99@MNXD1"	"alpha-D-glucose => beta-D-glucose;beta-D-glucose => alpha-D-glucose"	"yes"
"R10619"	"901-augustus_masked-CPN_4-15553"	" D-Galactose <=> alpha-D-Galactose"	"D-galactose 1-epimerase; aldose 1-epimerase"	"K01785"	"path:map00010;path:map00052;path:map01100;path:map01110;path:map01120;path:map01130"	"sce00010  Glycolysis / Gluconeogenesis;sce00052  Galactose metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics"	"NA"	"NA"	"MNXR113944"	"MNXR113944"	"1 `alpha-D-galactose` = 1 `alpha-D-galactose`"	"true"	"1 MNXM390@MNXD1 = 1 MNXM390@MNXD1"	NA	"not sure"
"R07013"	"932-augustus_masked-BAP_7-7168"	" (1R,2S)-Naphthalene 1,2-oxide + H2O <=> 1,2-Dihydronaphthalene-1,2-diol"	"(1R,2S)-naphthalene 1,2-oxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R07014"	"932-augustus_masked-BAP_7-7168"	" (1S,2R)-Naphthalene 1,2-oxide + H2O <=> 1,2-Dihydronaphthalene-1,2-diol"	"(1S,2R)-naphthalene 1,2-oxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R07027"	"932-augustus_masked-BAP_7-7168"	" 1-Nitronaphthalene-5,6-oxide + H2O <=> 1-Nitro-5,6-dihydroxy-dihydronaphthalene"	"1-nitronaphthalene-5,6-oxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R07071"	"932-augustus_masked-BAP_7-7168"	" Bromobenzene-3,4-oxide + H2O <=> Bromobenzene-3,4-dihydrodiol"	"bromobenzene-3,4-oxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R07072"	"932-augustus_masked-BAP_7-7168"	" Bromobenzene-2,3-oxide + H2O <=> Bromobenzene-2,3-dihydrodiol"	"bromobenzene-2,3-oxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R07082"	"932-augustus_masked-BAP_7-7168"	" Benzo[a]pyrene-7,8-oxide + H2O <=> Benzo[a]pyrene-7,8-diol"	"benzo[a]pyrene-7,8-oxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R09410"	"932-augustus_masked-BAP_7-7168"	" Aflatoxin B1-exo-8,9-epoxide + H2O <=> Aflatoxin B1 diol"	"epoxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	"MNXR112834"	"MNXR112834"	"1 `Aflatoxin B1 diol` = 1 `H2O` + 1 `aflatoxin B1 exo-8,9-epoxide`"	"true"	"1 MNXM164503@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM8257@MNXD1"	NA	"not sure"
"R09417"	"932-augustus_masked-BAP_7-7168"	" 1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene + H2O <=> trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene"	"microsomal epoxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	"MNXR112841"	"MNXR112841"	"1 `trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene` = 1 `H2O` + 1 `1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene`"	"true"	"1 MNXM13085@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM9729@MNXD1"	NA	"not sure"
"R09443"	"932-augustus_masked-BAP_7-7168"	" 7,12-Dimethylbenz[a]anthracene 5,6-oxide + H2O <=> trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene"	"microsomal epoxide hydrolase"	"K01253"	"path:map00980;path:map04976;path:map05204"	"sce00980  Metabolism of xenobiotics by cytochrome P450;sce04976  Bile secretion;sce05204  Chemical carcinogenesis"	"NA"	"NA"	"MNXR112866"	"MNXR112866"	"1 `7,12-Dimethylbenz[a]anthracene 5,6-oxide` + 1 `H2O` = 1 `trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene`"	"true"	"1 MNXM10395@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM22124@MNXD1"	NA	"not sure"
"R00026"	"1063-augustus_masked-CMG_6-37743"	" Cellobiose + H2O <=> 2 beta-D-Glucose"	"cellobiose glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"rhea:30679"	"NA"	"MNXR106343"	"MNXR126492"	"2 `beta-D-glucose` = 1 `H2O` + 1 `D-cellobiose`"	"true"	"2 MNXM105@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM776@MNXD1"	"D-cellobiose + H2O => 2 beta-D-glucose;2 beta-D-glucose => D-cellobiose + H2O"	"yes"
"R02558"	"1063-augustus_masked-CMG_6-37743"	" Prunasin + H2O <=> Mandelonitrile + D-Glucose"	"(R)-Prunasin beta-D-glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"rhea:16489"	"NA"	NA	"MNXR107577"	"1 `mandelonitrile` + 1 `D-glucose` = 1 `H2O` + 1 `(R)-prunasin`"	"true"	"1 MNXM114238@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2165@MNXD1"	"(R)-prunasin + H2O => D-glucose + mandelonitrile;D-glucose + mandelonitrile => (R)-prunasin + H2O"	"yes"
"R02887"	"1063-augustus_masked-CMG_6-37743"	" Cellodextrin + (n-2) H2O <=> (n-2) D-Glucose + Cellobiose"	"1,4-beta-D-Glucan glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"NA"	"NA"	"MNXR107801"	"MNXR107801"	"1 `beta-cellobiose` + (n-2) `D-glucose` = (n-2) `H2O` + 1 `cellodextrin`"	"NA"	"1 MNXM1142@MNXD1 + (n-2) MNXM41@MNXD1 = (n-2) MNXM2@MNXD1 + 1 MNXM46032@MNXD1"	NA	"not sure"
"R02985"	"1063-augustus_masked-CMG_6-37743"	" Prunasin + D-Glucose <=> Amygdalin + H2O"	"amygdalin beta-glucosidase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"rhea:14177"	"NA"	NA	"MNXR107868"	"1 `(R)-prunasin` + 1 `D-glucose` = 1 `H2O` + 1 `(R)-amygdalin`"	"true"	"1 MNXM2165@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM4201@MNXD1"	"(R)-amygdalin + H2O => (R)-prunasin + D-glucose;(R)-prunasin + D-glucose => (R)-amygdalin + H2O"	"yes"
"R03527"	"1063-augustus_masked-CMG_6-37743"	" beta-D-Glucoside + H2O <=> D-Glucose + ROH"	"D-Glucoside glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"NA"	"NA"	"MNXR108230"	"MNXR108230"	"1 `ROH` + 1 `D-glucose` = 1 `beta-D-glucoside` + 1 `H2O`"	"NA"	"1 MNXM162349@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM16307@MNXD1 + 1 MNXM2@MNXD1"	NA	"not sure"
"R04949"	"1063-augustus_masked-CMG_6-37743"	" Cyanoglycoside + H2O <=> Cyanohydrin + D-Glucose"	"Cyanoglycoside glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R04998"	"1063-augustus_masked-CMG_6-37743"	" cis-beta-D-Glucosyl-2-hydroxycinnamate + H2O <=> cis-2-Hydroxycinnamate + D-Glucose"	"beta-D-Glucosyl-2-coumarinate glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"rhea:31223"	"NA"	NA	"MNXR126512"	"1 `beta-D-glucose` + 1 `cis-2-coumarate` = 1 `H2O` + 1 `cis-beta-D-glucosyl-2-hydroxycinnamate`"	"true"	"1 MNXM105@MNXD1 + 1 MNXM3237@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3238@MNXD1"	"cis-beta-D-glucosyl-2-hydroxycinnamate + H2O => beta-D-glucose + cis-2-coumarate;beta-D-glucose + cis-2-coumarate => cis-beta-D-glucosyl-2-hydroxycinnamate + H2O"	"yes"
"R10035"	"1063-augustus_masked-CMG_6-37743"	" Dhurrin + H2O <=> (S)-4-Hydroxymandelonitrile + beta-D-Glucose"	"beta-D-glucoside glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"NA"	"NA"	"MNXR113420"	"MNXR113420"	"1 `beta-D-glucose` + 1 `(S)-4-hydroxymandelonitrile` = 1 `H2O` + 1 `dhurrin`"	"true"	"1 MNXM105@MNXD1 + 1 MNXM768@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3012@MNXD1"	NA	"not sure"
"R10039"	"1063-augustus_masked-CMG_6-37743"	" Lotaustralin + H2O <=> (2R)-2-Hydroxy-2-methylbutanenitrile + beta-D-Glucose"	"beta-D-glucoside glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"NA"	"NA"	"MNXR113424"	"MNXR113424"	"1 `beta-D-glucose` + 1 `(2R)-2-hydroxy-2-methylbutanenitrile` = 1 `Lotaustralin` + 1 `H2O`"	"true"	"1 MNXM105@MNXD1 + 1 MNXM2041@MNXD1 = 1 MNXM12137@MNXD1 + 1 MNXM2@MNXD1"	NA	"not sure"
"R10040"	"1063-augustus_masked-CMG_6-37743"	" Linamarin + H2O <=> Acetone cyanohydrin + beta-D-Glucose"	"beta-D-glucoside glucohydrolase"	"K05349"	"path:map00460;path:map00500;path:map00940;path:map01100;path:map01110"	"sce00460  Cyanoamino acid metabolism;sce00500  Starch and sucrose metabolism;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"	"NA"	"NA"	"MNXR113425"	"MNXR113425"	"1 `beta-D-glucose` + 1 `2-hydroxy-2-methylpropanenitrile` = 1 `H2O` + 1 `linamarin`"	"true"	"1 MNXM105@MNXD1 + 1 MNXM2066@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM4035@MNXD1"	NA	"not sure"
