"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"
"IAH1"	"IAH1"	559961	560677	"isoamyl acetate-hydrolyzing esterase"	""
"YMD8"	"YML038C"	202775	204103	"YMD8"	""
"VMA2"	"YBR127C"	491269	492822	"Vacuolar Membrane Atpase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"YPT53"	"YNL093W"	449868	450530	"Yeast Protein Two"	""
"SOH1"	"YGL127C"	270392	270775	"Suppressor Of Hpr1"	""
"AZF1"	"YOR113W"	534075	536819	"Asparagine-rich Zinc-Finger"	""
"YDL183C"	"YDL183C"	130871	131833	"Mitochondrial K+/H+ exchange Related"	""
"SSZ1"	"YHR064C"	225525	227141	"SSZ1"	""
"BAP3"	"YDR046C"	548762	550576	"Branched-chain Amino acid Permease"	""
"MMT2"	"YPL224C"	126634	128088	"Mitochondrial Metal Transporter"	""
"HAL5"	"YJL165C"	106894	109461	"HALotolerance"	""
"PRB1"	"PRB1"	40046	41953	"vacuolar protease B"	""
"MHF2"	"YDL160C-A"	169366	169608	"Mph1-associated Histone-Fold protein"	""
"DID2"	"YKR035W-A"	507939	508553	"Doa4-Independent Degradation"	""
"MPD2"	"MPD2"	153912	154745	"protein disulfide isomerase"	""
"TRM9"	"YML014W"	243225	244064	"tRNA (carboxymethyluridine<small><sup>34</sup></small>-5-<em>O</em>)-methyltransferase"	"tRNA methylation"
"YMC2"	"YBR104W"	449667	450656	"Yeast Mitochondrial Carrier"	""
"MKS1"	"YNL076W"	483556	485310	"Multicopy Kinase Suppressor"	""
"ARC1"	"YGL105W"	307437	308567	"Acyl-RNA-Complex"	""
"VPS21"	"YOR089C"	490196	490828	"Vacuolar Protein Sorting"	""
"MSH5"	"YDL154W"	178334	181039	"MutS Homolog"	""
"RRF1"	"YHR038W"	184066	184758	"Ribosome Recycling Factor"	""
"HRR25"	"YPL204W"	164276	165760	"HRR25"	""
"YAK1"	"YJL141C"	147967	150390	"Yet Another Kinase"	""
"PPM1"	"PPM1"	1332983	1333969	"carboxy methyl transferase"	""
"HSP31"	"YDR533C"	1501447	1502160	"Heat-Shock Protein"	""
"SRP40"	"YKR092C"	612665	613885	"Serine Rich Protein"	""
"ARE2"	"ARE2"	665339	667267	"acyl-CoA cholesterol acyltransferase"	"sterol:steryl ester interconversion"
"LSM3"	"YLR438C-A"	1013909	1014178	"Like SM"	""
"SEC18"	"YBR080C"	398614	400890	"SECretory"	""
"OCA2"	"YNL056W"	517249	517842	"Oxidant-induced Cell cycle Arrest"	""
"MAD1"	"YGL086W"	347119	349368	"Mitotic Arrest-Deficient"	""
"VAM10"	"YOR068C"	453869	454213	"VAcuolar Morphogenesis"	""
"PPH21"	"YDL134C"	219662	220771	"Protein PHosphatase"	""
"VPS29"	"YHR012W"	129481	130448	"Vacuolar Protein Sorting"	""
"MRN1"	"YPL184C"	195950	197788	"Multicopy supressor of RSC-Nhp6 synthetic lethality"	""
"MDV1"	"YJL112W"	205305	207449	"Mitochondrial DiVision"	""
"LYS4"	"LYS4"	931129	933210	"homoaconitase"	"L-lysine biosynthesis IV"
"GMC1"	"YDR506C"	1459728	1461554	"Grand Meiotic recombination Cluster"	""
"DRE2"	"YKR071C"	574934	575980	"Derepressed for Ribosomal protein S14 Expression"	""
"CHS1"	"CHS1"	276502	279897	"chitin synthase 1"	"chitin biosynthesis"
"ECM7"	"YLR443W"	1022625	1023971	"ExtraCellular Mutant"	""
"MNP1"	"YGL068W"	375087	375671	"Mitochondrial-Nucleoid Protein"	""
"MUM2"	"YBR057C"	352193	353293	"MUddled Meiosis"	""
"CRZ1"	"YNL027W"	579580	581616	"Calcineurin-Responsive Zinc finger"	""
"WHI2"	"YOR043W"	410870	412330	"WHIskey"	""
"ATG20"	"YDL113C"	256633	258555	"AuTophaGy related"	""
"MUP3"	"YHL036W"	26241	27881	"Methionine UPtake"	""
"SET6"	"YPL165C"	237956	239077	"SET domain-containing"	""
"SRS2"	"YJL092W"	257423	260947	"Suppressor of Rad Six"	""
"ARO3"	"ARO3"	521816	522928	"3-deoxy-D-arabine-heptulosonate-7-phosphate synthase"	"superpathway of chorismate metabolism" // "superpathway of phenylalanine, tyrosine and tryptophan biosynthesis" // "chorismate biosynthesis" // "3-dehydroquinate biosynthesis"
"VPS60"	"YDR486C"	1427431	1428120	"Vacuolar Protein Sorting"	""
"FMP46"	"YKR049C"	526830	527231	"Found in Mitochondrial Proteome"	""
"PRC1"	"PRC1"	861922	863520	"carboxypeptidase Y (proteinase C)"	""
"YLR422W"	"YLR422W"	965897	971695	"DOCK1 homolog"	""
"RNA15"	"YGL044C"	416146	417036	"RNA synthesis"	""
"RPL4A"	"YBR031W"	300166	301254	"Ribosomal Protein of the Large subunit"	""
"PET8"	"YNL003C"	624975	625829	"PETite colonies"	""
"AHC1"	"YOR023C"	376012	377712	"Ada Histone acetyltransferase complex Component"	""
"NUR1"	"YDL089W"	296820	298274	"NUclear Rim1"	""
"DUR3"	"YHL016C"	72037	74244	"Degradation of URea"	""
"NOP53"	"YPL146C"	276162	277529	"NucleOlar Protein"	""
"QRI7"	"QRI7"	273653	274876	"sialoglycoprotease"	""
"NET1"	"YJL076W"	295245	298814	"Nucleolar silencing Establishing factor and Telophase regulator"	""
"PKH3"	"YDR466W"	1395121	1397817	"Pkb-activating Kinase Homolog"	""
"RPC37"	"YKR025W"	487770	488618	"RNA Polymerase C"	""
"FOL3"	"FOL3"	494999	496282	"FOLic acid synthesis"	"superpathway of tetrahydrofolate biosynthesis and salvage" // "superpathway of tetrahydrofolate biosynthesis" // "tetrahydrofolate biosynthesis"
"JAC1"	"YGL018C"	459110	459664	"co-chaperone for [Fe-S] cluster biosynthesis"	"iron-sulfur cluster biosynthesis"
"GPI18"	"YBR004C"	244366	245667	"GlycosylPhosphatidylInositol"	""
"YMR310C"	"YMR310C"	895716	896669	"YMR310C"	""
"YSP3"	"YOR003W"	331455	332891	"Yeast Subtilisin-like Protease III"	""
"PEX19"	"YDL065C"	336249	337277	"PEroXisome related"	""
"PAU12"	"YGR294W"	1080306	1080668	"seriPAUperin"	""
"TBF1"	"YPL128C"	306533	308221	"TTAGGG repeat-Binding Factor"	""
"ATG15"	"ATG15"	237214	238776	"lipase"	"triacylglycerol degradation"
"MTR4"	"YJL050W"	342522	345743	"Mrna TRansport"	""
"RPS17B"	"YDR447C"	1354829	1355553	"Ribosomal Protein of the Small subunit"	""
"OSH6"	"YKR003W"	445381	446727	"OxySterol binding protein Homolog"	""
"HMG1"	"HMG1"	115734	118898	"HMG-CoA reductase 1"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)" // "superpathway of ergosterol biosynthesis" // "mevalonate pathway"
"AUA1"	"YFL010W-A"	114990	115274	"AUA1"	""
"BOI1"	"YBL085W"	63876	66818	"Bem1 (One) Interacting protein"	""
"CSR1"	"YLR380W"	878282	879508	"Chs5 Spa2 Rescue"	""
"DSS1"	"YMR287C"	842436	845345	"Deletion of SUV3 Supressor"	""
"RRP40"	"YOL142W"	55558	56280	"Ribosomal RNA Processing"	""
"PRP11"	"YDL043C"	375680	376480	"Pre-mRNA Processing"	""
"YOL057W"	"YOL057W"	220767	222902	"YOL057W"	""
"MES1"	"YGR264C"	1019598	1021853	"MEthionyl-tRNA Synthetase"	"tRNA charging"
"SSE1"	"YPL106C"	350194	352275	"SSE1"	""
"APE3"	"APE3"	774700	776313	"aminopeptidase yscIII"	""
"APS3"	"YJL024C"	395931	396592	"clathrin Associated Protein complex Small subunit"	""
"HKR1"	"YDR420W"	1306267	1311675	"Hansenula mrakii Killer toxin Resistant"	""
"EAP1"	"YKL204W"	53704	55602	"EIF4E-Associated Protein"	""
"NIT3"	"NIT3"	829489	830364	"nitrilase"	"indole-3-acetate biosynthesis V (bacteria and fungi)"
"RRT5"	"YFR032C"	222090	222959	"Regulator of rDNA Transcription"	""
"SHP1"	"YBL058W"	111437	112708	"Suppressor of High-copy PP1"	""
"RSC2"	"YLR357W"	841331	844000	"Remodel the Structure of Chromatin"	""
"PRP24"	"YMR268C"	802888	804222	"Pre-mRNA Processing"	""
"RPL18A"	"YOL120C"	93395	94402	"Ribosomal Protein of the Large subunit"	""
"CDC7"	"YDL017W"	424209	425732	"Cell Division Cycle"	""
"SMC5"	"YOL034W"	259923	263204	"Structural Maintenance of Chromosomes"	""
"PEX21"	"YGR239C"	969187	970053	"PEroXin"	""
"ELP3"	"YPL086C"	384773	386446	"ELongator Protein"	""
"ARA1"	"ARA1"	539987	541021	"D-arabinose dehydrogenase, light chain" // "D-arabinose dehydrogenase, heavy chain"	"dehydro-D-arabinono-1,4-lactone biosynthesis"
"YPS6"	"YIR039C"	430498	432111	"YaPSin"	""
"NCB2"	"YDR397C"	1266366	1266898	"Negative Cofactor B"	""
"LOT5"	"YKL183W"	98721	99641	"LOw Temperature-responsive"	""
"LIP2"	"LIP2"	616332	617318	"octanoyl transferase"	"superpathway of lipoate biosynthesis and incorporation (PDH, KGDH, GCV)" // "lipoate biosynthesis and incorporation (glycine cleavage system)" // "lipoate biosynthesis and incorporation I"
"FAR7"	"YFR008W"	160535	161200	"Factor ARrest"	""
"YBL036C"	"YBL036C"	150447	151220	"YBL036C"	""
"REC102"	"YLR329W"	786442	787333	"RECombination"	""
"CUS1"	"YMR240C"	749930	751240	"Cold sensitive U2 snRNA Suppressor"	""
"YOL098C"	"YOL098C"	132725	135838	"YOL098C"	""
"MOS1"	"YCL057C-A"	24032	24325	"Mitochondrial Organizing Structure"	""
"IRC10"	"YOL015W"	297078	298838	"Increased Recombination Centers"	""
"CRM1"	"YGR218W"	932541	935795	"Chromosome Region Maintenance"	""
"PDR12"	"YPL058C"	445842	450377	"Pleiotropic Drug Resistance"	""
"IPP1"	"IPP1"	257112	257975	"inorganic pyrophosphatase"	""
"MSL1"	"YIR009W"	374525	374860	"MUD Synthetic Lethal"	""
"LSM6"	"YDR378C"	1229349	1229609	"Like SM"	""
"KDX1"	"YKL161C"	149386	150687	"Kinase Dead X-talker"	""
"ERG27"	"ERG27"	341810	342853	"3-keto sterol reductase"	"superpathway of ergosterol biosynthesis" // "zymosterol biosynthesis"
"HXT10"	"YFL011W"	112345	113985	"HeXose Transporter"	""
"FUS3"	"YBL016W"	192451	193512	"cell FUSion"	""
"HRI1"	"YLR301W"	730825	731559	"HRr25 Interacting"	""
"FSH2"	"YMR222C"	715638	716309	"Family of Serine Hydrolases"	""
"MDM20"	"YOL076W"	187024	189414	"Mitochondrial Distribution and Morphology"	""
"ABP1"	"YCR088W"	265068	266846	"Actin Binding Protein"	""
"YSF3"	"YNL138W-A"	366033	366412	"Yeast Splicing Factor 3b subunit"	""
"SKI6"	"YGR195W"	888882	889622	"SuperKIller"	""
"PMA2"	"YPL036W"	482843	485686	"Plasma Membrane ATPase"	""
"POP5"	"POP5"	82706	83227	"ribonuclease P"	""
"RRD1"	"YIL153W"	55198	56379	"Resistant to Rapamycin Deletion"	""
"SPC110"	"YDR356W"	1186107	1188941	"Spindle Pole Component"	""
"APL2"	"YKL135C"	186460	188640	"clathrin Adaptor Protein complex Large chain"	""
"SPO14"	"SPO14"	501344	506395	"phospholipase D"	"phospholipids degradation" // "choline biosynthesis"
"YFL034W"	"YFL034W"	65477	68698	"YFL034W"	""
"ERP1"	"YAR002C-A"	154065	154724	"Emp24p/Erv25p Related Protein"	""
"YCS4"	"YLR272C"	683672	687202	"Yeast Condensin Subunit"	""
"CLN1"	"YMR199W"	662644	664284	"CycLiN"	""
"YIH1"	"YCR059C"	223454	224230	"Yeast Impact Homolog"	""
"NOG2"	"YNR053C"	721120	723112	"NucleOlar G-protein"	""
"TRS65"	"YGR166W"	830515	832197	"TRapp Subunit"	""
"MRPS16"	"YPL013C"	528985	529350	"Mitochondrial Ribosomal Protein, Small subunit"	""
"THI11"	"YJR156C"	728574	729596	MONOMER3O-9135	"superpathway of thiamin diphosphate biosynthesis III (eukaryotes)" // "4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis"
"FLX1"	"YIL134W"	97395	98330	"FLavin eXchange"	""
"YDR333C"	"YDR333C"	1133260	1135431	"Ribosome Quality Control 1"	""
"KTI12"	"YKL110C"	228939	229880	"Kluveromyces lactis Toxin Insensitive"	""
"AAT1"	"AAT1"	237536	238891	"aspartate aminotransferase"	"aspartate biosynthesis" // "aspartate degradation II"
"SEG2"	"YKL105C"	239185	242583	"Stability of Eisosomes Guaranteed"	""
"CYT2"	"CYT2"	277189	277863	"cytochrome c1 heme lyase"	""
"SNO3"	"YFL060C"	10301	10969	"SNZ proximal Open reading frame"	""
"ECM1"	"YAL059W"	36509	37147	"ExtraCellular Mutant"	""
"THI7"	"YLR237W"	612367	614163	"THIamine metabolism"	""
"PAI3"	"YMR174C"	610159	610365	"Proteinase A Inhibitor"	""
"RHB1"	"YCR027C"	167370	167999	"RHeB homolog"	""
"MPP6"	"YNR024W"	672409	672969	"M-Phase Phosphoprotein 6 homologue"	""
"LSB1"	"YGR136W"	762428	763153	"Las Seventeen Binding protein"	""
"YRF1-8"	"YOR396W"	1085473	1090863	"YRF1-8"	""
"HOS4"	"YIL112W"	151595	154846	"Hda One Similar"	""
"SUM1"	"YDR310C"	1081128	1084316	"SUppresor of Mar1-1"	""
"AI2"	"Q0055"	13818	18830	"AI2"	""
"TEF4"	"YKL081W"	282891	284455	"Translation Elongation Factor"	""
"STE24"	"STE24"	642007	643368	"CAAX prenyl protease 1"	""
"SBH2"	"YER019C-A"	194273	194539	"Sec61 beta homolog 2"	""
"MTW1"	"YAL034W-A"	79718	80587	"Mis TWelve-like"	""
"TUB4"	"YLR212C"	564860	566281	"TUBulin"	""
"NUP53"	"YMR153W"	564435	565862	"NUclear Pore"	""
"MRPL32"	"YCR003W"	118620	119171	"Mitochondrial Ribosomal Protein, Large subunit"	""
"COS1"	"YNL336W"	8330	9475	"COnserved Sequence"	""
"SHY1"	"YGR112W"	717358	718527	"SURF Homolog of Yeast"	""
"RAD17"	"YOR368W"	1026843	1028048	"RADiation sensitive"	""
"AIM19"	"YIL087C"	199646	200119	"Altered Inheritance rate of Mitochondria"	""
"NSE3"	"YDR288W"	1037195	1038106	"Non SMC Element"	""
"AQY1"	"YPR192W"	921860	922777	"AQuaporin of Yeast"	""
"TMA19"	"YKL056C"	334412	334915	"Translation Machinery Associated"	""
"CPS1"	"CPS1"	97737	99467	"carboxypeptidase yscS"	""
"BCK2"	"YER167W"	518216	520771	"Bypass of C Kinase"	""
"NTG1"	"YAL015C"	126903	128102	"eNdonuclease Three-like Glycosylase"	""
"MMR1"	"YLR190W"	535214	536689	"Mitochondrial Myo2p Receptor-related"	""
"RRB1"	"YMR131C"	533163	534698	"Regulator of Ribosome Biogenesis"	""
"POF1"	"YCL047C"	43661	44437	"Promoter Of Filamentation"	""
"EMW1"	"YNL313C"	45308	48022	"Essential for Maintenance of the cell Wall"	""
"VAS1"	"YGR094W"	672186	675500	"VAlyl-tRNA Synthetase"	"tRNA charging"
"TYE7"	"YOR344C"	977194	978069	"Ty-mediated Expression"	""
"RGI2"	"YIL057C"	247902	248396	"Respiratory growth induced"	""
"AKR1"	"YDR264C"	996029	998323	"AnKyrin Repeat-containing protein"	""
"JIP5"	"YPR169W"	878690	880168	"Jumonji domain Interacting Protein"	""
"TTI1"	"YKL033W"	375456	378572	"Two Tel2-Interacting protein"	""
"TAD2"	"TAD2"	380249	381001	"tRNA-specific adenosine deaminase subunit"	""
"SCC4"	"YER147C"	462968	464842	"Sister Chromatid Cohesion"	""
"GRX5"	"YPL059W"	444579	445031	"mitochondrial monothiol glutaredoxin 5" // "oxidized glutaredoxin 5"	"glutathione-glutaredoxin redox reactions" // "glutathione-glutaredoxin system"
"STM1"	"YLR150W"	440467	441288	"Suppressor of tom1"	""
"MYO5"	"YMR109W"	486587	490246	"MYOsin"	""
"NFS1"	"YCL017C"	92777	94270	"L-cysteine desulfurase"	"iron-sulfur cluster biosynthesis" // "tRNA-uridine 2-thiolation (yeast mitochondria)"
"RIM21"	"YNL294C"	78659	80260	"Regulator of IME2"	""
"PRP38"	"YGR075C"	636147	636875	"Pre-mRNA Processing"	""
"GNT1"	"YOR320C"	913619	915094	"GlcNAc Transferase"	""
"CST6"	"YIL036W"	285666	287429	"Chromosome STability"	""
"SNU56"	"YDR240C"	943674	945152	"Small NUclear ribonucleoprotein associated"	""
"NOC4"	"YPR144C"	819765	821423	"NucleOlar Complex associated"	""
"MRT4"	"YKL009W"	426242	426952	"mRNA Turnover 4"	""
"SUC2"	"SUC2"	37385	38983	"invertase"	"sucrose degradation III (sucrose invertase)" // "sucrose degradation"
"LCP5"	"YER127W"	414481	415554	"Lethal with Conditional Pap1"	""
"APC2"	"YLR127C"	395758	398319	"Anaphase Promoting Complex"	""
"SEG1"	"YMR086W"	439208	442090	"Stability of Eisosomes Guaranteed"	""
"RPL19A"	"YBR084C-A"	414186	415261	"Ribosomal Protein of the Large subunit"	""
"SEC2"	"YNL272C"	126805	129084	"SECretory"	""
"SCM4"	"YGR049W"	591314	591877	"Suppressor of Cdc4 Mutation"	""
"MUM3"	"YOR298W"	875599	877038	"MUddled Meiosis"	""
"MNT3"	"YIL014W"	326103	327995	"&alpha;-1,3-mannosyltransferase MMN3"	"protein <I>O</i>-mannosylation I (yeast)"
"ADR1"	"YDR216W"	895035	899006	"Alcohol Dehydrogenase Regulator"	""
"AXL1"	"YPR122W"	782045	785671	"AXiaL budding"	""
"RPS4A"	"YJR145C"	702027	703068	"Ribosomal Protein of the Small subunit"	""
"FAA3"	"FAA3"	339344	341428	"acyl-CoA synthase"	"fatty acid activation" // "stearate biosynthesis I (animals and fungi)" // "fatty acid oxidation (non-cyclic)" // "fatty acid &beta;-oxidation (peroxisome)"
"FLO8"	"YER109C"	375215	377614	"FLOcculation"	""
"ICT1"	"YLR099C"	339744	340928	"Increased Copper Tolerance"	""
"SOV1"	"YMR066W"	401541	404237	"Synthesis Of Var"	""
"MRPL27"	"YBR282W"	768240	768680	"Mitochondrial Ribosomal Protein, Large subunit"	""
"TEX1"	"YNL253W"	170018	171286	"TrEX component"	""
"VMA7"	"YGR020C"	526973	527329	"VMA7"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"YTM1"	"YOR272W"	832813	834195	"YTM1"	""
"SAE3"	"YHR079C-A"	262192	262553	"Sporulation in the Absence of spo Eleven"	""
"MSS116"	"YDR194C"	845952	847946	"Mitochondrial Splicing System"	""
"PRE2"	"YPR103W"	732349	733212	"PRoteinase yscE"	""
"TDA4"	"YJR116W"	640825	641664	"Topoisomerase I Damage Affected"	""
"PPE1"	"PPE1"	248439	249641	"carboxyl methyl esterase"	""
"DOT6"	"YER088C"	333176	335188	"Disruptor Of Telomeric silencing"	""
"SRL2"	"YLR082C"	292394	293572	"Suppressor of Rad53 null Lethality"	""
"ARG80"	"YMR042W"	352603	353136	"ARGinine requiring"	""
"AIM5"	"YBR262C"	735720	736040	"Altered Inheritance rate of Mitochondria"	""
"BNI4"	"YNL233W"	211922	214600	"Bud Neck Involved"	""
"ZRT1"	"YGL255W"	20978	22108	"Zinc-Regulated Transporter"	""
"NAT5"	"YOR253W"	804377	804907	"N-terminal AcetylTransferase"	""
"EGD2"	"YHR193C"	487712	488236	"Enhancer of Gal4 DNA binding"	""
"HMO1"	"YDR174W"	812110	812850	"High MObility group (HMG) family"	""
"MRL1"	"YPR079W"	698869	700014	"Mannose 6-phosphate Receptor Like"	""
"GRR1"	"YJR090C"	590872	594327	"Glucose Repression-Resistant"	""
"OSH7"	"OSH7"	106055	107368	"oxysterol-binding protein homolog 7"	""
"PET117"	"YER058W"	271768	272091	"PETite colonies"	""
"BMT6"	"YLR063W"	264157	265254	"25S rRNA (uracil<sup>2843</sup>-<i>N</i><sup>3</sup>)-methyltransferase"	""
"MRPL3"	"YMR024W"	321875	323047	"Mitochondrial Ribosomal Protein, Large subunit"	""
"PRP5"	"YBR237W"	691969	694518	"Pre-mRNA Processing"	""
"SSB2"	"YNL209W"	252059	253900	"Stress-Seventy subfamily B"	""
"TAN1"	"YGL232W"	62075	63002	"Trna AcetylatioN"	""
"WTM2"	"YOR229W"	768409	769812	"WD repeat containing Transcriptional Modulator"	""
"MTG2"	"YHR168W"	440377	441933	"MiTochondrial Gtpase 2"	""
"CTH1"	"YDR151C"	764178	765155	"Cysteine-Three-Histidine"	""
"ATG11"	"YPR049C"	661137	664673	"AuTophaGy related"	""
"ARP3"	"YJR065C"	557809	559158	"Actin-Related Protein"	""
"ADE3"	"ADE3"	905934	908774	"cytoplasmic C1-tetrahydrofolate synthase"	"folate interconversions" // "folate transformations" // "folate polyglutamylation" // "formate assimilation into 5,10-methylenetetrahydrofolate"
"PHM8"	"YER037W"	225889	226854	"PHosphate Metabolism"	""
"SMF3"	"YLR034C"	210512	211933	"SMF3"	""
"COS3"	"YML132W"	7244	8383	"COnserved Sequence"	""
"NGR1"	"YBR212W"	647886	649904	"Negative Growth Regulatory protein"	""
"NPR1"	"YNL183C"	293137	295509	"Nitrogen Permease Reactivator"	""
"VAM7"	"YGL212W"	91432	92382	"VAcuolar Morphogenesis"	""
"DED1"	"YOR204W"	722911	724725	"DEaD-box protein"	""
"ATG31"	"YDR022C"	488072	488662	"AuTophaGy related"	""
"MTC6"	"YHR151C"	399268	400848	"Maintenance of Telomere Capping"	""
"MTC5"	"YDR128W"	709549	712995	"Maintenance of Telomere Capping"	""
"APL4"	"YPR029C"	624469	626967	"clathrin Adaptor Protein complex Large chain"	""
"SSC1"	"YJR045C"	519638	521602	"Stress-Seventy subfamily C"	""
"UGA1"	"UGA1"	525229	526644	"4-aminobutyrate aminotransferase"	"glutamate degradation X" // "4-aminobutyrate degradation"
"BIM1"	"YER016W"	188277	189311	"BInding to Microtubules"	""
"GAT3"	"YLR013W"	171339	171764	"GAT3"	""
"FUM1"	"FUM1"	47336	48802	"fumarate hydralase"	"TCA cycle, aerobic respiration"
"PML39"	"YML107C"	55265	56269	"Pre-mRNA Leakage"	""
"RPS9B"	"YBR189W"	604508	605508	"Ribosomal Protein of the Small subunit"	""
"CBK1"	"YNL161W"	332597	334867	"Cell wall Biosynthesis Kinase"	""
"RPS26A"	"YGL189C"	148229	148588	"Ribosomal Protein of the Small subunit"	""
"SYC1"	"YOR179C"	671845	672411	"Similar to Ysh1 C-terminal"	""
"MPH2"	"YDL247W"	5985	7814	"Maltose Permease Homolog"	""
"NDT80"	"YHR124W"	356561	358444	"Non-DiTyrosine"	""
"TMN2"	"YDR107C"	669016	671034	"TransMembrane Nine"	""
"HAA1"	"YPR008W"	573018	575102	"Homolog of Ace1 Activator"	""
"GPI14"	"YJR013W"	460382	461593	"GlycosylPhosphatidylInositol anchor biosynthesis"	""
"MET13"	"MET13"	272520	274322	"MTHFR"	"folate interconversions" // "folate transformations"
"AVT2"	"YEL064C"	29797	31239	"Amino acid Vacuolar Transport"	""
"AQY2"	"YLL052C"	35912	36361	"AQuaporin of Yeast"	""
"ATF1"	"ATF1"	1046226	1047803	"alcohol acetyltransferase / acyl-CoA thioesterase"	"acyl-CoA hydrolysis"
"TDA9"	"YML081W"	104777	108532	"Topoisomerase I Damage Affected"	""
"UBS1"	"YBR165W"	568852	569685	"UBiquitin-conjugating enzyme Suppressor"	""
"NAM9"	"YNL137C"	368595	370055	"Nuclear Accommodation of Mitochondria"	""
"PMR1"	"YGL167C"	187616	190468	"Plasma Membrane ATPase Related"	""
"PET123"	"YOR158W"	632164	633120	"PETite colonies"	""
"FMP45"	"YDL222C"	60872	61801	"Found in Mitochondrial Proteome"	""
"KIC1"	"YHR102W"	316572	319814	"Kinase that Interacts with Cdc31p"	""
"AFR1"	"YDR085C"	614288	616150	"Alpha-Factor Receptor regulator"	""
"DIP5"	"YPL265W"	41043	42869	"DIcarboxylic amino acid Permease"	""
"CBP1"	"YJL209W"	38005	39969	"Cytochrome B mRNA Processing"	""
"AAD6"	"AAD6"	14305	15431	"aryl-alcohol dehydrogenase"	""
"YEF1"	"YEL041W"	75944	77431	"YEF1 NAD(+)/NADH kinase subunit"	"superpathway NAD/NADP - NADH/NADPH interconversion" // "NAD/NADP-NADH/NADPH cytosolic interconversion"
"GPI13"	"YLL031C"	77152	80205	"GlycosylPhosphatidylInositol anchor biosynthesis"	""
"STE13"	"STE13"	752214	755009	"dipeptidyl aminopeptidase"	""
"NTE1"	"YML059C"	153219	158258	"Neuropathy Target Esterase"	"phosphatidylcholine resynthesis via glycerophosphocholine"
"SUP45"	"YBR143C"	530869	532182	"SUPpressor"	""
"DBP2"	"YNL112W"	413639	416281	"Dead Box Protein"	""
