"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000000013"	"YAL015C"	"S. cerevisiae"	"NTG1"	"eNdonuclease Three-like Glycosylase"	"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase"	"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant shows increased mutation rate and fails to increase mitochondrial genome copy number after oxidative stress;"	"1780-YAL015C"	NA
"S000000014"	"YAL016W"	"S. cerevisiae"	"TPD3"	"tRNA Processing Deficient"	"Regulatory subunit A of the heterotrimeric PP2A complex"	"Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"	"Verified"	NA	"Non-essential gene; null mutant has low proportion of S-phase cells and G1 cells in heterozygous diploid; null mutant shows secreation defect"	"1783-YAL016W"	NA
"S000000015"	"YAL017W"	"S. cerevisiae"	"PSK1"	"Pas domain-containing Serine/threonine protein Kinase"	"PAS domain-containing serine/threonine protein kinase"	"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene, but heterozygous diploid shows haploinsufficiency; null mutant shows increased fitness on synthetic media and increased life span"	"1784-YAL017W"	NA
"S000000016"	"YAL018C"	"S. cerevisiae"	"LDS1"	"Lipid Droplets in Sporulation"	"Protein Involved in spore wall assembly"	"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants"	"Verified"	NA	"Non-essential gene, null mutant shows normal sporulation in large scale study and increased fitness on synthetic media"	"1785-YAL018C"	NA
"S000000017"	"YAL019W"	"S. cerevisiae"	"FUN30"	"Function Unknown Now"	"Snf2p family member with ATP-dependent chromatin remodeling activity"	"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"	"Verified"	"DNA-dependent ATPase that binds chromatin; involved in DNA double-strand break processing and heterochromatin maintenence by chromatin silencing at telomere, silent mating-type cassette, rDNA; localizes to centromeric regions of chromosomes|uniprot_proteome=UP000002311"	"Non-essential gene, null mutant shows decreased silencing at telomeres, rDNA and siilent mating loci and also chromosome segregation defects;"	"1786-YAL019W"	NA
"S000000018"	"YAL020C"	"S. cerevisiae"	"ATS1"	"Alpha Tubulin Suppressor"	"Protein required for modification of wobble nucleosides in tRNA"	"Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"	"Verified"	NA	"Non-essential gene; null mutant displays sensitivity to heat, caffeine, and Calcofluor white but increased resistance to killer toxin; in large-scale studies, null mutant shows reduced competetive fitness in several different media and has abnormal tRNA modifications"	"1788-YAL020C"	NA
"S000000019"	"YAL021C"	"S. cerevisiae"	"CCR4"	"Carbon Catabolite Repression"	"Component of the CCR4-NOT transcriptional complex"	"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	"Verified"	"3'-5'-exoribonuclease subunit of the core CCR4-NOT complex; involved in deadenylation-dependent mRNA decay, nuclear-transcribed mRNA poly(A) tail shortening, replication fork protection, DNA replication, and regulation of transcription and transcription elongation; also involved in the DNA replication checkpoint and traversing the start control point of the mitotic cell cycle; colocalizes with the Cdc73/Paf1 complex and localizes to the cytoplasm and cytoplasmic mRNA processing body|uniprot_proteome=UP000002311"	NA	"1789-YAL021C"	NA
"S000000020"	"YAL022C"	"S. cerevisiae"	"FUN26"	"Function Unknown Now"	"High affinity, broad selectivity, nucleoside/nucleobase transporter"	"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"	"Verified"	"Nicotinamide riboside transmembrane transporter; localizes to the vacuole membrane|uniprot_proteome=UP000002311"	NA	"1790-YAL022C"	NA
"S000000021"	"YAL023C"	"S. cerevisiae"	"PMT2"	"Protein O-MannosylTransferase"	"Protein O-mannosyltransferase of the ER membrane"	"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant is defective in ER-associated protein mannosylation and shows sensitivity to alkaline pH and inositol auxotrophy"	"1791-YAL023C"	NA
"S000000022"	"YAL024C"	"S. cerevisiae"	"LTE1"	"Low Temperature Essential"	"Protein similar to GDP/GTP exchange factors"	"Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures"	"Verified"	"Putative guanyl-nucleotide exchange factor based on sequence similarity but without detectable activity; involved in vesicle-mediated transport, spindle orientation and mitotic exit; localizes to the bud|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant shows cold sensitivity and defects in protein secretion; overexpression leads to slow growth and decreased fermentative metabolism"	"1792-YAL024C"	NA
"S000000023"	"YAL025C"	"S. cerevisiae"	"MAK16"	"MAintenance of Killer"	"Essential nuclear protein"	"Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"	"Verified"	NA	"Essential gene; heterozygous null mutant shows decreased fitness and starvation sensitivity; temperature-sensitive mutant shows decreased levels of 25S and 5.8S rRNA under non-permissive conditions"	"1793-YAL025C"	NA
"S000000024"	"YAL026C"	"S. cerevisiae"	"DRS2"	"Deficiency of Ribosomal Subunits"	"Trans-golgi network aminophospholipid translocase (flippase)"	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	"Verified"	"Subunit of the Cdc50p-Drs2p phospolipid flippase complex; maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; localizes to the trans-Golgi network|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant is sensitive to cell wall-damaging agents and metals, shows defects in protein transport through the Golgi"	"1794-YAL026C"	NA
"S000000025"	"YAL027W"	"S. cerevisiae"	"SAW1"	"Single-strand Annealing Weakened"	"5'- and 3'-flap DNA binding protein"	"5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus"	"Verified"	NA	"Non-essential gene; null mutant shows increased mitotic rDNA recombination and decreased competitive fitness"	"1796-YAL027W"	NA
"S000000026"	"YAL028W"	"S. cerevisiae"	"FRT2"	"Functionally Related to TCP1"	"Tail-anchored ER membrane protein of unknown function"	"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant shows decreased competitive fitness and UV resistance, abnormal proton transport and vacuolar morphology"	"1797-YAL028W"	NA
"S000000027"	"YAL029C"	"S. cerevisiae"	"MYO4"	"MYOsin"	"Type V myosin motor involved in actin-based transport of cargos"	"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant shows decreased mating efficiency and decreased competitive fitness; mutation in globular tails causes defects in localization of ASH1 mRNA"	"1798-YAL029C"	NA
"S000000028"	"YAL030W"	"S. cerevisiae"	"SNC1"	"Suppressor of the Null allele of CAP"	"Vesicle membrane receptor protein (v-SNARE)"	"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication"	"Verified"	"SNAP receptor involved in Golgi to plasma membrane transport, vesicle fusion, endocytosis, and exocytosis; localizes to the endosome, trans-Golgi network, transport vesicle membrane, plasma membrane, and bud neck|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant is defective in endocytosis; overexpression causes defects in actin cytoskeleton and abnormalities in cell cycle progression through G2"	"1799-YAL030W"	NA
"S000000029"	"YAL031C"	"S. cerevisiae"	"GIP4"	"Glc7 Interacting Protein"	"Cytoplasmic protein that regulates protein phosphatase 1 Glc7p"	"Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"	"Verified"	NA	"Non-essential gene; null mutant displays increased competitive fitness; overexpression causes abnormal budding and actin cytoskeleton and nuclear morphology"	"1800-YAL031C"	NA
"S000000030"	"YAL032C"	"S. cerevisiae"	"PRP45"	"Pre-mRNA Processing"	"Protein required for pre-mRNA splicing"	"Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene"	"Verified"	NA	"Essential gene; reduced expression leads to accumulation of unspliced pre-mRNA precursors"	"1802-YAL032C"	NA
"S000000031"	"YAL033W"	"S. cerevisiae"	"POP5"	"Processing Of Precursor RNAs"	"Subunit of both RNase MRP and nuclear RNase P"	"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"	"Verified"	NA	"Essential gene; overexpression causes decreased vegetative growth rate; diploid heterozygous null mutant displays increased resistance to heat shock during stationary phase, but decreased resistance during exponential growth"	"1803-YAL033W"	NA
"S000000032"	"YAL034W-A"	"S. cerevisiae"	"MTW1"	"Mis TWelve-like"	"Essential component of the MIND kinetochore complex"	"Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)"	"Verified"	NA	"Essential gene; heterozygous null mutant displays decreased fitness; conditional mutant is heat-sensitive and shows chromosome instability (CIN); reduced expression causes increased DNA damage and chromosome instability"	"1806-YAL034W-A"	NA
"S000000033"	"YAL035W"	"S. cerevisiae"	"FUN12"	"Function Unknown Now"	"Translation initiation factor eIF5B"	"Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2"	"Verified"	"Protein and ribosome binding GTPase involved in the formation of the cytoplasmic translation initiation complex and maturation of SSU-rRNA; involved in regulation of translational initiation; localizes to the cytosolic small ribosomal subunit and eukaryotic 48S pre initiation complex|uniprot_proteome=UP000002311"	"Gene variously reported to be essential or to cause a severe slow growth phenotype when deleted; null mutant accumulates 20S pre-rRNA; heterozygous null mutant displays decreased fitness"	"1807-YAL035W"	NA
"S000000034"	"YAL036C"	"S. cerevisiae"	"RBG1"	"RiBosome interacting Gtpase"	"Member of the DRG family of GTP-binding proteins"	"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"	"Verified"	NA	"Non-essential gene; null mutant displays increased competitive fitness and an extended hibernating lifespan"	"1808-YAL036C"	NA
"S000000035"	"YAL037W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"1810-YAL037W"	NA
"S000000036"	"YAL038W"	"S. cerevisiae"	"CDC19"	"Cell Division Cycle"	"Pyruvate kinase"	"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"	"Verified"	"Pyruvate kinase that catalyzes the final step in glycolysis, the conversion of phosphoenolpyruvate to pyruvate, which is then utilized in anaerobic or aerobic respiration; localized to the cytoplasm|uniprot_proteome=UP000002311"	"Essential gene; heterozygous null mutant displays decreased fitness; conditional mutant is heat-sensitive and arrests in an unbudded state; overexpression confers chromosome instability"	"1811-YAL038W_NumOfGenes_2"	NA
"S000000037"	"YAL039C"	"S. cerevisiae"	"CYC3"	"CYtochrome C"	"Cytochrome c heme lyase (holocytochrome c synthase)"	"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant"	"Verified"	NA	"Non-essential gene; null mutant shows greatly decreased rate of respiratory growth and decreased apoptosis; in large-scale studies null mutant shows sensitivity to ethanol, flucytosine, MMS, inability to utilize proline or glutamine as a nitrogen source, and displays decreased competitive fitness"	"1812-YAL039C"	NA
"S000000038"	"YAL040C"	"S. cerevisiae"	"CLN3"	"CycLiN"	"G1 cyclin involved in cell cycle progression"	"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"	"Verified"	"Cyclin-dependent protein kinase (CDK) regulatory subunit; regulates cell cycle passage by regulating G1/S phase transcription; regulates cell size and non-autophagic vacuole fusion; localizes to the nucleus|uniprot_proteome=UP000002311"	"Non-essential gene; dominant hyperactive alleles result in decreased critical cell size at START, decreased duration of the G1 phase, increased alpha-factor resistance, transient pheromone-induced cell cycle arrest, reduced mating efficiency; null mutants have an increased critical cell size at START, increased duration of the G1 phase, elevated chromosome instability, and increased chronological lifespan; homozygous diploid nulls have an increased sporulation efficiency and enhanced pseudohyphal growth"	"1813-YAL040C"	NA
"S000000039"	"YAL041W"	"S. cerevisiae"	"CDC24"	"Cell Division Cycle"	"Guanine nucleotide exchange factor (GEF) for Cdc42p"	"Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"	"Verified"	"Rho guanine nucleotide exchange factor for Cdc42p; involved in cellular bud site selection, septin ring organization, and regulation of mitotic exit; localizes to the nucleus, cytoplasm, incipient bud sites, and sites of polarized growth|uniprot_proteome=UP000002311"	NA	"1814-YAL041W"	NA
"S000000040"	"YAL042W"	"S. cerevisiae"	"ERV46"	"ER Vesicle"	"Protein localized to COPII-coated vesicles"	"Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport"	"Verified"	NA	NA	"1815-YAL042W_NumOfGenes_2"	NA
"S000000041"	"YAL043C"	"S. cerevisiae"	"PTA1"	"Pre-Trna Accumulation"	"Subunit of holo-CPF"	"Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"	"Verified"	NA	NA	"1816-YAL043C"	NA
"S000000042"	"YAL044C"	"S. cerevisiae"	"GCV3"	"GlyCine cleaVage"	"H subunit of the mitochondrial glycine decarboxylase complex"	"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"	"Verified"	NA	NA	"1817-YAL044C"	NA
"S000000043"	"YAL045C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"	"Dubious"	NA	NA	"1818-YAL044W-A_NumOfGenes_2"	"find panID based blast"
"S000000044"	"YAL046C"	"S. cerevisiae"	"BOL3"	"BolA-like protein"	"Protein involved in Fe-S cluster transfer to mitochondrial clients"	"Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)"	"Verified"	"Mitochondrial matrix protein involved in transferring [4Fe-4S] clusters from the ISA complex to client proteins|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant displays decreased competitive fitness in media containing either fermentable or non-fermentable carbon sources; null mutant displays an increased frequency of spontaneous mitochondrial genome loss and elevated levels of Rnr3p, indicative of genome instability; null mutant is defective in biofilm formation; null mutant displays increased survival following a ramped heat stimulus; null mutant displays a reduction in the delivery of a plasma membrane reporter to the cell surface; heterozygous null mutant is haploinsufficient"	"1819-YAL046C"	NA
"S000000045"	"YAL047C"	"S. cerevisiae"	"SPC72"	"Spindle Pole Component"	"Gamma-tubulin small complex (gamma-TuSC) receptor"	"Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase"	"Verified"	NA	NA	"1820-YAL047C"	NA
"S000000046"	"YAL048C"	"S. cerevisiae"	"GEM1"	"GTPase EF-hand protein of Mitochondria"	"Outer mitochondrial membrane GTPase, subunit of the ERMES complex"	"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases"	"Verified"	NA	NA	"1822-YAL048C"	NA
