qseqid	ID	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalues	bitscore	annotation
75-augustus_masked-11951-BDM_5	gnl|TC-DB|P25621|2.A.1.14.18	58.4	440	175	2	145	1440	25	464	3.30E-160	561.6	Pantothenate transporter FEN2 - Saccharomyces cerevisiae (Baker's yeast).
81-augustus_masked-1220-ANM_2	gnl|TC-DB|P33335|2.A.1.3.54	63.4	238	87	0	34	747	11	248	2.80E-80	295	Protein SGE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SGE1 PE=1 SV=1
83-augustus_masked-12212-ALI_5	gnl|TC-DB|P32804|2.A.5.1.1	62.8	379	135	4	1	1128	1	376	5.00E-134	474.2	ZRT1 PROTEIN - Saccharomyces cerevisiae (Baker's yeast).
87-augustus_masked-125-YCE	gnl|TC-DB|Q12359|2.A.96.1.5	48.9	276	129	6	13	816	3	274	3.10E-64	241.9	Ammonia transport outward protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATO3 PE=1 SV=1
95-augustus_masked-1364-CFF_4	gnl|TC-DB|P25560|9.B.82.1.1	96.3	188	7	0	1	564	1	188	1.80E-100	361.7	Protein RER1 - Saccharomyces cerevisiae (Baker's yeast).
95-augustus_masked-1364-CFF_4	gnl|TC-DB|O15258|9.B.82.1.2	51	157	77	0	79	549	28	184	2.90E-45	178.3	Protein RER1 - Homo sapiens (Human).
95-augustus_masked-1364-CFF_4	gnl|TC-DB|O48670|9.B.82.1.3	50.6	162	79	1	79	564	25	185	1.10E-41	166.4	Protein RER1A - Arabidopsis thaliana (Mouse-ear cress).
98-augustus_masked-1375-CFF_4	gnl|TC-DB|P40445|2.A.1.14.38	97.2	542	15	0	1	1626	1	542	4.90E-308	1052.7	Uncharacterized transporter YIL166C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIL166C PE=1 SV=1
102-augustus_masked-1433-AAT_3	gnl|TC-DB|P32319|9.A.63.1.1	52.4	806	327	8	1	2352	1	771	9.20E-239	823.2	Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1
120-augustus_masked-1671-AIE_1	gnl|TC-DB|P40550|3.A.1.205.8	96.6	1412	47	1	1	4236	1	1411	0	2698.7	ATP-dependent permease PDR11 - Saccharomyces cerevisiae (Baker's yeast).
120-augustus_masked-1671-AIE_1	gnl|TC-DB|Q08409|3.A.1.205.15	65.6	1403	458	8	1	4188	1	1385	0	1810.8	ATP-dependent permease AUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AUS1 PE=1 SV=1
120-augustus_masked-1671-AIE_1	gnl|TC-DB|Q6FUR1|3.A.1.205.13	62.9	1435	467	11	1	4218	1	1398	0	1707.2	ABC transporter OS=Candida glabrata GN=CgAUS1 PE=4 SV=1
134-augustus_masked-1700-AIE_1	gnl|TC-DB|Q06451|2.A.1.2.66	97.4	622	16	0	1	1866	1	622	0	1129.4	Polyamine transporter 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO3 PE=1 SV=1
134-augustus_masked-1700-AIE_1	gnl|TC-DB|P53283|2.A.1.2.67	84.6	622	87	3	1	1866	1	613	1.70E-272	934.9	Polyamine transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO2 PE=1 SV=1
134-augustus_masked-1700-AIE_1	gnl|TC-DB|B6H9Q3|2.A.1.2.85	52.5	583	249	6	97	1839	7	563	2.70E-161	565.5	Pc16g11960 protein OS=Penicillium chrysogenum (strain ATCC 28089 / DSM 1075 / Wisconsin 54-1255) GN=Pc16g11960 PE=4 SV=1
148-augustus_masked-1999-AID_2	gnl|TC-DB|P39004|2.A.1.1.31	97.9	97	2	0	1	291	139	235	1.40E-48	188.3	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
148-augustus_masked-1999-AID_2	gnl|TC-DB|P32467|2.A.1.1.30	95.9	97	4	0	1	291	145	241	1.20E-47	185.3	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
148-augustus_masked-1999-AID_2	gnl|TC-DB|P32465|2.A.1.1.108	90.7	97	9	0	1	291	139	235	2.50E-45	177.6	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
148-augustus_masked-1999-AID_2	gnl|TC-DB|P13181|2.A.1.1.6	86.6	97	13	0	1	291	145	241	3.60E-44	173.7	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
148-augustus_masked-1999-AID_2	gnl|TC-DB|P23585|2.A.1.1.111	81.4	97	18	0	1	291	130	226	1.70E-41	164.9	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
148-augustus_masked-1999-AID_2	gnl|TC-DB|P54862|2.A.1.1.105	80.4	97	19	0	1	291	135	231	2.90E-41	164.1	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
148-augustus_masked-1999-AID_2	gnl|TC-DB|P43581|2.A.1.1.5	76.3	97	23	0	1	291	123	219	3.80E-41	163.7	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
148-augustus_masked-1999-AID_2	gnl|TC-DB|Q2MDH1|2.A.1.1.67	63.9	97	35	0	1	291	118	214	6.40E-33	136.3	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
148-augustus_masked-1999-AID_2	gnl|TC-DB|P54854|2.A.1.1.107	58.9	95	39	0	7	291	137	231	6.60E-30	126.3	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
148-augustus_masked-1999-AID_2	gnl|TC-DB|P39924|2.A.1.1.110	57.9	95	40	0	7	291	134	228	1.90E-29	124.8	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
149-augustus_masked-2075-ARN_6	gnl|TC-DB|P40445|2.A.1.14.38	45.1	244	129	3	145	867	21	262	1.10E-51	200.3	Uncharacterized transporter YIL166C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIL166C PE=1 SV=1
153-augustus_masked-2075-ARN_6	gnl|TC-DB|Q2MEV7|2.A.1.1.51	60.6	477	184	4	46	1467	21	496	4.20E-163	571.2	Glucose/xylose symporter 1 - Candida intermedia.
153-augustus_masked-2075-ARN_6	gnl|TC-DB|A3M0N3|2.A.1.1.68	57	523	218	6	7	1560	8	528	9.10E-158	553.5	Glucose transporter/sensor OS=Pichia stipitis GN=RGT2 PE=4 SV=1
153-augustus_masked-2075-ARN_6	gnl|TC-DB|B1PM37|2.A.1.1.64	50.2	500	240	5	49	1524	66	564	1.70E-135	479.6	Glucose sensor - Pichia angusta (Yeast) (Hansenula polymorpha).
153-augustus_masked-2075-ARN_6	gnl|TC-DB|Q12300|2.A.1.1.19	50.5	465	223	4	49	1422	95	559	2.10E-130	462.6	High-affinity glucose transporter RGT2 - Saccharomyces cerevisiae (Baker's yeast).
153-augustus_masked-2075-ARN_6	gnl|TC-DB|P10870|2.A.1.1.17	50.1	465	224	5	49	1422	93	556	4.10E-126	448.4	High-affinity glucose transporter SNF3 OS=Saccharomyces cerevisiae GN=SNF3 PE=1 SV=3
153-augustus_masked-2075-ARN_6	gnl|TC-DB|Q8J0V1|2.A.1.1.57	48.8	492	232	5	58	1476	18	508	1.00E-124	443.7	Monosaccharide transporter - Aspergillus niger.
153-augustus_masked-2075-ARN_6	gnl|TC-DB|G4N740|2.A.1.1.117	46	496	257	2	19	1485	3	494	2.40E-118	422.5	Glucose transporter rco-3 OS=Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) GN=MGG_03620 PE=3 SV=1
157-augustus_masked-2154-BRV_4	gnl|TC-DB|P38360|3.A.3.5.14	81.3	1071	193	5	625	3825	149	1216	0	1647.5	Probable copper-transporting ATPase - Saccharomyces cerevisiae (Baker's yeast).
166-augustus_masked-2358-ARB_2	gnl|TC-DB|P53388|2.A.3.10.13	66.6	596	192	3	7	1776	14	608	2.70E-219	758.1	Dicarboxylic amino acid permease - Saccharomyces cerevisiae (Baker's yeast).
173-augustus_masked-2546-BAD_8	gnl|TC-DB|P14359|9.B.12.3.1	45.6	125	56	1	1	375	13	125	2.20E-25	111.7	HYPOTHETICAL 15.2 KDA PROTEIN IN INO1-IDS2 INTERGENIC REGION - Saccharomyces cerevisiae (Baker's yeast).
177-augustus_masked-2802-CPI_4	gnl|TC-DB|Q08280|2.A.1.7.13	94.1	490	29	0	118	1587	8	497	7.10E-267	916	Bypass of stop codon protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BSC6 PE=1 SV=1
190-augustus_masked-2843-CPI_4	gnl|TC-DB|P40100|9.A.26.1.3	68	284	91	0	85	936	17	300	4.90E-106	380.9	Uncharacterized protein YER185W - Saccharomyces cerevisiae (Baker's yeast).
190-augustus_masked-2843-CPI_4	gnl|TC-DB|P53047|9.A.26.1.1	45.9	283	135	3	91	927	17	285	7.20E-57	217.6	RTA1 protein - Saccharomyces cerevisiae (Baker's yeast).
193-augustus_masked-2860-CPI_4	gnl|TC-DB|P38359|2.A.53.1.1	94.9	859	44	0	16	2592	1	859	0	1639.8	SULFATE PERMEASE 1 (HIGH-AFFINITY SULFATE TRANSPORTER 1) - Saccharomyces cerevisiae (Baker's yeast).
193-augustus_masked-2860-CPI_4	gnl|TC-DB|Q12325|2.A.53.1.13	63.3	893	275	10	37	2592	13	893	0	1078.9	Sulfate permease 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUL2 PE=1 SV=1
194-augustus_masked-2860-CPI_4	gnl|TC-DB|P38358|2.A.1.48.2	94.7	474	25	0	262	1683	1	474	6.80E-244	839.7	Vacuolar basic amino acid transporter 2 - Saccharomyces cerevisiae (Baker's yeast).
205-augustus_masked-3001-BGP_1	gnl|TC-DB|Q08269|1.A.35.2.1	64	860	262	4	1	2439	1	859	2.40E-298	1021.1	Aluminum resistance protein 1 - Saccharomyces cerevisiae (Baker's yeast).
212-augustus_masked-3105-AHL_3	gnl|TC-DB|P36033|5.B.1.5.3	93.4	711	47	0	1	2133	1	711	0	1337.4	Ferric/cupric reductase transmembrane component 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRE2 PE=1 SV=1
217-augustus_masked-339-ALB_3	gnl|TC-DB|P13587|3.A.3.9.1	94.7	815	43	0	1	2445	277	1091	0	1546.2	SODIUM TRANSPORT ATPASE 1 (EC 3.6.3.7) - Saccharomyces cerevisiae (Baker's yeast).
217-augustus_masked-339-ALB_3	gnl|TC-DB|P78981|3.A.3.9.4	66.8	805	227	5	1	2412	272	1037	0	1057.4	Na+-ATPase - Zygosaccharomyces rouxii (Candida mogii).
217-augustus_masked-339-ALB_3	gnl|TC-DB|O13398|3.A.3.9.3	57.3	824	285	15	1	2421	301	1074	4.90E-251	864	P-type ATPase 2 - Debaryomyces occidentalis (Yeast) (Schwanniomyces occidentalis).
217-augustus_masked-339-ALB_3	gnl|TC-DB|B5B9V9|3.A.3.9.5	52.7	788	339	11	1	2346	300	1059	9.30E-218	753.4	Na+ or K+ P-type ATPase OS=Ustilago maydis GN=ena1 PE=3 SV=1
217-augustus_masked-339-ALB_3	gnl|TC-DB|P22189|3.A.3.9.2	46.9	781	360	11	1	2337	276	1003	1.80E-181	632.9	CALCIUM-TRANSPORTING ATPASE 3 (EC 3.6.3.8) - Schizosaccharomyces pombe (Fission yeast).
233-augustus_masked-4747-CNV_4	gnl|TC-DB|P38124|2.A.1.2.17	59.2	546	220	3	1	1632	1	545	8.80E-188	653.3	Fluconazole resistance protein 1 - Saccharomyces cerevisiae (Baker's yeast).
241-augustus_masked-4866-BCP_8	gnl|TC-DB|P15685|2.A.1.1.10	73.9	614	156	4	1	1833	1	613	2.70E-270	927.5	Maltose permease MAL6T (Maltose transport protein MAL6T) - Saccharomyces cerevisiae (Baker's yeast).
241-augustus_masked-4866-BCP_8	gnl|TC-DB|P53048|2.A.1.1.11	54.2	587	256	5	1	1731	1	584	3.90E-184	641.3	General alpha-glucoside permease - Saccharomyces cerevisiae (Baker's yeast).
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P54854|2.A.1.1.107	91.7	288	24	0	1	864	87	374	9.20E-152	532.7	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P39924|2.A.1.1.110	90.6	288	27	0	1	864	84	371	2.10E-151	531.6	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P13181|2.A.1.1.6	59.4	288	116	1	7	870	100	386	2.30E-94	342	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P39004|2.A.1.1.31	57.8	287	120	1	7	867	94	379	6.30E-92	334	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P54862|2.A.1.1.105	53.8	290	133	1	1	870	88	376	1.80E-91	332.4	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P32467|2.A.1.1.30	57	284	121	1	7	858	100	382	1.20E-90	329.7	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P32465|2.A.1.1.108	53.5	288	133	1	7	870	94	380	1.00E-89	326.6	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P43581|2.A.1.1.5	51.9	287	137	1	7	867	78	363	3.60E-87	318.2	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
242-augustus_masked-4866-BCP_8	gnl|TC-DB|P23585|2.A.1.1.111	52.8	288	135	1	7	870	85	371	3.00E-86	315.1	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
242-augustus_masked-4866-BCP_8	gnl|TC-DB|Q2MDH1|2.A.1.1.67	50.2	289	143	1	1	867	71	358	1.50E-85	312.8	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
251-augustus_masked-515-ADN_4	gnl|TC-DB|P32467|2.A.1.1.30	91.8	390	32	0	1	1170	145	534	1.10E-211	732.3	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
251-augustus_masked-515-ADN_4	gnl|TC-DB|P39004|2.A.1.1.31	93.1	390	27	0	1	1170	139	528	9.00E-211	729.2	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
251-augustus_masked-515-ADN_4	gnl|TC-DB|P13181|2.A.1.1.6	76.4	390	92	0	1	1170	145	534	1.10E-179	625.9	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
251-augustus_masked-515-ADN_4	gnl|TC-DB|P32465|2.A.1.1.108	76.7	390	91	0	1	1170	139	528	2.10E-175	611.7	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
251-augustus_masked-515-ADN_4	gnl|TC-DB|P54862|2.A.1.1.105	74.5	392	98	1	1	1170	135	526	5.70E-173	603.6	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
251-augustus_masked-515-ADN_4	gnl|TC-DB|P23585|2.A.1.1.111	71.3	390	112	0	1	1170	130	519	2.80E-164	574.7	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
251-augustus_masked-515-ADN_4	gnl|TC-DB|P43581|2.A.1.1.5	70	390	117	0	1	1170	123	512	1.40E-163	572.4	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
251-augustus_masked-515-ADN_4	gnl|TC-DB|Q2MDH1|2.A.1.1.67	63.4	393	141	1	1	1170	118	510	3.30E-144	508.1	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
251-augustus_masked-515-ADN_4	gnl|TC-DB|P39924|2.A.1.1.110	61.9	388	148	0	7	1170	134	521	2.10E-143	505.4	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
251-augustus_masked-515-ADN_4	gnl|TC-DB|P54854|2.A.1.1.107	61.6	388	149	0	7	1170	137	524	5.20E-142	500.7	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
254-augustus_masked-5425-CDT_2	gnl|TC-DB|P04817|2.A.3.10.4	96.9	590	18	0	1	1770	1	590	0	1139	Arginine permease - Saccharomyces cerevisiae (Baker's yeast).
254-augustus_masked-5425-CDT_2	gnl|TC-DB|P38971|2.A.3.10.11	71.7	526	147	2	199	1770	48	573	4.10E-223	770.8	Basic amino-acid permease - Saccharomyces cerevisiae (Baker's yeast).
254-augustus_masked-5425-CDT_2	gnl|TC-DB|P32487|2.A.3.10.10	61.9	598	215	4	13	1770	15	611	2.70E-211	731.5	Lysine-specific permease - Saccharomyces cerevisiae (Baker's yeast).
254-augustus_masked-5425-CDT_2	gnl|TC-DB|P43059|2.A.3.10.20	56.1	572	228	9	100	1770	8	571	5.80E-169	590.9	Lysine/arginine permease - Candida albicans (Yeast).
265-augustus_masked-5486-AQA_4	gnl|TC-DB|Q59UQ7|2.A.28.3.7	57.1	319	128	5	4	945	94	408	4.10E-98	354.8	Putative uncharacterized protein OS=Candida albicans (strain SC5314 / ATCC MYA-2876) GN=CaO19.13108 PE=4 SV=1
269-augustus_masked-5488-AQA_4	gnl|TC-DB|P49792|1.I.1.1.3	54.7	137	60	2	190	597	1171	1306	2.30E-32	135.6	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2
287-augustus_masked-6649-CPA_4	gnl|TC-DB|Q874B4|2.A.1.3.71	45.3	287	154	3	100	954	28	313	7.30E-65	244.2	Drug efflux permease KNQ1 OS=Kluyveromyces lactis PE=4 SV=1
288-augustus_masked-6650-CPA_4	gnl|TC-DB|P43549|1.A.8.9.7	83.4	645	105	1	1	1935	1	643	NA	1072	HYPOTHETICAL 70.5 KDA PROTEIN IN AGP3-DAK3 INTERGENIC REGION - Saccharomyces cerevisiae (Baker's yeast).
290-augustus_masked-6668-CPA_4	gnl|TC-DB|Q12016|9.B.199.1.7	97.3	184	5	0	1	552	1	184	3.60E-101	364	Vacuolar protein sorting-associated protein 68 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS68 PE=1 SV=1
290-augustus_masked-6668-CPA_4	gnl|TC-DB|A1CM58|9.B.199.1.4	51.2	164	67	3	64	552	22	173	2.60E-43	171.8	UPF0220 domain protein OS=Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1) GN=ACLA_095780 PE=4 SV=1
290-augustus_masked-6668-CPA_4	gnl|TC-DB|O43073|9.B.199.1.5	45.8	177	83	4	22	552	7	170	1.10E-36	149.8	UPF0220 protein C8D2.02c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=pi063 PE=3 SV=1
301-augustus_masked-7012-CFC_2	gnl|TC-DB|P22224|1.F.2.1.1	61.7	916	315	11	1	2661	1	909	NA	1066.6	Exocyst complex component SEC15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC15 PE=1 SV=2
314-augustus_masked-758-BKQ_2	gnl|TC-DB|P38124|2.A.1.2.17	62	563	188	3	1	1662	1	546	1.60E-200	695.7	Fluconazole resistance protein 1 - Saccharomyces cerevisiae (Baker's yeast).
318-augustus_masked-7605-CPQ_4	gnl|TC-DB|P32487|2.A.3.10.10	94	612	35	2	1	1833	1	611	0	1133.6	Lysine-specific permease - Saccharomyces cerevisiae (Baker's yeast).
318-augustus_masked-7605-CPQ_4	gnl|TC-DB|P04817|2.A.3.10.4	68.7	527	162	2	256	1833	66	590	1.70E-211	732.3	Arginine permease - Saccharomyces cerevisiae (Baker's yeast).
318-augustus_masked-7605-CPQ_4	gnl|TC-DB|P38971|2.A.3.10.11	61.7	561	207	4	154	1821	12	569	3.20E-202	701.4	Basic amino-acid permease - Saccharomyces cerevisiae (Baker's yeast).
318-augustus_masked-7605-CPQ_4	gnl|TC-DB|P43059|2.A.3.10.20	49.9	555	259	8	214	1833	21	571	1.00E-152	537	Lysine/arginine permease - Candida albicans (Yeast).
334-augustus_masked-7615-CPQ_4	gnl|TC-DB|P39718|3.A.20.1.5	81.1	180	33	1	1	537	1	180	6.90E-81	296.6	Peroxisome assembly protein 22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX22 PE=1 SV=1
341-augustus_masked-7617-CPQ_4	gnl|TC-DB|KZV12328|3.A.1.31.3	99.3	608	4	0	1	1824	1	608	0	1206.4	RLI1 [Saccharomyces cerevisiae]
348-augustus_masked-779-BSG_4	gnl|TC-DB|Q12359|2.A.96.1.5	58.9	192	77	2	244	816	84	274	5.40E-61	231.1	Ammonia transport outward protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATO3 PE=1 SV=1
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P13181|2.A.1.1.6	97	574	17	0	1	1722	1	574	0	1123.6	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P39004|2.A.1.1.31	72.1	562	155	1	31	1716	7	566	1.70E-245	845.1	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P32467|2.A.1.1.30	72.6	555	149	2	58	1716	19	572	8.20E-245	842.8	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
