"panID"	"ID"	"pident"	"length"	"mismatch"	"gapopen"	"qstart"	"qend"	"sstart"	"send"	"evalues"	"bitscore"	"ec"	"annotation"
"YAL026C"	"gnl|TC-DB|Q5KP96|3.A.3.8.10"	55.3	1131	478	11	179	1298	208	1322	0	1197.6	"3.A.3.8.10"	"Calcium transporting ATPase, putative OS=Cryptococcus neoformans GN=CNA03720 PE=4 SV=1"
"YAL026C"	"gnl|TC-DB|Q29449|3.A.3.8.1"	46.4	1139	562	16	181	1298	35	1145	7.5e-281	963.8	"3.A.3.8.1"	"POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE IA (EC 3.6.3.13) (CHROMAFFIN GRANULE ATPASE II) - Bos taurus (Bovine)."
"YAL026C"	"gnl|TC-DB|Q9Y2Q0|3.A.3.8.13"	46.2	1145	570	16	181	1298	35	1160	3.7e-280	961.4	"3.A.3.8.13"	"Probable phospholipid-transporting ATPase IA OS=Homo sapiens GN=ATP8A1 PE=1 SV=1"
"YAL030W"	"gnl|TC-DB|P33328|1.F.1.1.2"	74.1	116	29	1	1	116	1	115	3.3e-31	131	"1.F.1.1.2"	"Synaptobrevin homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNC2 PE=1 SV=2"
"YAL053W"	"gnl|TC-DB|P39719|1.A.4.9.3"	100	783	0	0	1	783	1	783	0	1437.9	"1.A.4.9.3"	"Flavin carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FLC2 PE=1 SV=2"
"YAL055W"	"gnl|TC-DB|P39718|3.A.20.1.5"	100	180	0	0	1	180	1	180	1.6e-101	365.2	"3.A.20.1.5"	"Peroxisome assembly protein 22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX22 PE=1 SV=1"
"YAL067C"	"gnl|TC-DB|P39709|2.A.1.14.37"	100	593	0	0	1	593	1	593	0	1201	"2.A.1.14.37"	"Probable transporter SEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEO1 PE=1 SV=1"
"YAR002W"	"gnl|TC-DB|P39705|1.I.1.1.1"	100	539	0	0	1	539	1	539	1.5e-293	1004.6	"1.I.1.1.1"	"Nucleoporin NUP60 - Saccharomyces cerevisiae (Baker's yeast)."
"YBL017C"	"gnl|TC-DB|P32319|9.A.63.1.1"	100	1579	0	0	1	1579	1	1579	0	3222.6	"9.A.63.1.1"	"Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1"
"YBL020W"	"gnl|TC-DB|P38206|2.A.66.3.1"	100	574	0	0	1	574	1	574	0	1090.1	"2.A.66.3.1"	"Nuclear division RFT1 protein - Saccharomyces cerevisiae (Baker's yeast)."
"YBL030C"	"gnl|TC-DB|P18239|2.A.29.1.7"	100	318	0	0	1	318	1	318	3.5e-160	560.8	"2.A.29.1.7"	"ADP,ATP carrier protein 2 - Saccharomyces cerevisiae (Baker's yeast)."
"YBL030C"	"gnl|TC-DB|P18238|2.A.29.1.9"	81.8	303	55	0	16	318	5	307	5.2e-140	493.8	"2.A.29.1.9"	"ADP,ATP carrier protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAC3 PE=1 SV=1"
"YBL030C"	"gnl|TC-DB|P04710|2.A.29.1.3"	71.1	301	86	1	19	318	9	309	6.4e-122	433.7	"2.A.29.1.3"	"ADP,ATP carrier protein 1 - Saccharomyces cerevisiae (Baker's yeast)."
"YBL030C"	"gnl|TC-DB|Q8TFA7|2.A.29.1.4"	57.9	302	125	2	18	318	7	307	1.9e-94	342.4	"2.A.29.1.4"	"ADP/ATP carrier - Neocallimastix frontalis (Rumen fungus)."
"YBL030C"	"gnl|TC-DB|P31167|2.A.29.1.5"	59	305	123	2	15	317	72	376	4.8e-93	337.8	"2.A.29.1.5"	"ADP,ATP carrier protein 1, mitochondrial - Arabidopsis thaliana (Mouse-ear cress)."
"YBL030C"	"gnl|TC-DB|Q8LB08|2.A.29.1.6"	54.7	296	133	1	19	313	6	301	4.3e-86	314.7	"2.A.29.1.6"	"ADP,ATP carrier protein ER-ANT1 OS=Arabidopsis thaliana GN=ER-ANT1 PE=2 SV=2"
"YBL030C"	"gnl|TC-DB|P05141|2.A.29.1.1"	51.9	293	132	5	22	309	7	295	1e-71	266.9	"2.A.29.1.1"	"ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=6"
"YBL030C"	"gnl|TC-DB|P12236|2.A.29.1.10"	51	296	136	5	22	312	7	298	1.4e-71	266.5	"2.A.29.1.10"	"ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4"
"YBL030C"	"gnl|TC-DB|P12235|2.A.29.1.2"	50.9	293	135	5	22	309	7	295	5.7e-70	261.2	"2.A.29.1.2"	"ADP,ATP carrier protein, heart/skeletal muscle isoform T1 (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1) - Homo sapiens (Human)."
"YBL030C"	"gnl|TC-DB|Q9H0C2|2.A.29.1.8"	50.2	305	138	6	15	309	5	305	1.4e-68	256.5	"2.A.29.1.8"	"ADP/ATP translocase 4 OS=Homo sapiens GN=SLC25A31 PE=1 SV=1"
"YBL040C"	"gnl|TC-DB|Q2GNP2|9.B.191.1.1"	51.8	220	96	4	1	218	3	214	4.2e-56	214.5	"9.B.191.1.1"	"ER lumen protein-retaining receptor OS=Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) GN=CHGG_10412 PE=3 SV=1"
"YBL040C"	"gnl|TC-DB|P24390|9.B.191.1.5"	50.5	218	101	4	1	218	1	211	1.7e-52	202.6	"9.B.191.1.5"	"ER lumen protein-retaining receptor 1 OS=Homo sapiens GN=KDELR1 PE=1 SV=1"
"YBL042C"	"gnl|TC-DB|P38196|2.A.39.3.3"	100	639	0	0	1	639	1	639	0	1282.7	"2.A.39.3.3"	"URIDINE PERMEASE - Saccharomyces cerevisiae (Baker's yeast)."
"YBL042C"	"gnl|TC-DB|P05316|2.A.39.3.2"	50.3	586	266	7	53	619	27	606	4.2e-173	604.7	"2.A.39.3.2"	"URACIL PERMEASE - Saccharomyces cerevisiae (Baker's yeast)."
"YBL042C"	"gnl|TC-DB|Q04895|2.A.39.3.1"	54.7	519	228	4	103	616	89	605	5.5e-173	604.4	"2.A.39.3.1"	"ALLANTOIN PERMEASE (ALLANTOIN TRANSPORT PROTEIN) - Saccharomyces cerevisiae (Baker's yeast)."
"YBL042C"	"gnl|TC-DB|R9WAS9|2.A.39.3.13"	47.8	563	268	6	51	612	14	551	5.9e-151	531.2	"2.A.39.3.13"	"Uracil permease OS=Clavispora lusitaniae GN=FUR4 PE=4 SV=1"
"YBL075C"	"gnl|TC-DB|P08107|1.A.33.1.3"	70.8	647	177	2	4	649	6	641	6e-252	866.7	"1.A.33.1.3"	"Heat shock 70 kDa protein 1 (HSP70.1) (HSP70-1/HSP70-2) - Homo sapiens (Human)."
"YBL075C"	"gnl|TC-DB|P22953|1.A.33.1.1"	66.9	613	199	3	4	612	9	621	3.1e-224	774.6	"1.A.33.1.1"	"HEAT SHOCK COGNATE 70 KDA PROTEIN 1 (HSC70.1) - Arabidopsis thaliana (Mouse-ear cress)."
"YBL075C"	"gnl|TC-DB|P11021|1.A.33.1.6"	62.3	610	224	5	5	611	31	637	1.6e-207	719.2	"1.A.33.1.6"	"78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2"
"YBL075C"	"gnl|TC-DB|Q02028|3.A.9.1.1"	55.2	531	222	8	3	528	69	588	3.2e-152	535.4	"3.A.9.1.1"	"Stromal 70 kDa heat shock-related protein, chloroplast precursor - Pisum sativum (Garden pea)."
"YBL075C"	"gnl|TC-DB|P0A6Y8|1.A.33.1.2"	53.9	538	229	9	1	529	1	528	2.7e-151	532.3	"1.A.33.1.2"	"Chaperone protein dnaK - Escherichia coli."
"YBL075C"	"gnl|TC-DB|G4NXA5|1.A.33.1.4"	52.3	526	212	9	1	522	1	491	9.3e-144	507.3	"1.A.33.1.4"	"Chaperone protein DnaK OS=Bacillus subtilis subsp. spizizenii TU-B-10 GN=dnaK PE=3 SV=1"
"YBL078C"	"gnl|TC-DB|A8MS84|9.A.15.3.1"	73	115	31	0	2	116	18	132	4.4e-44	173.7	"9.A.15.3.1"	"Autophagy-related protein OS=Arabidopsis thaliana GN=APG8A PE=3 SV=1"
"YBL078C"	"gnl|TC-DB|O95166|1.A.9.5.2"	55.2	116	52	0	1	116	1	116	4.1e-34	140.6	"1.A.9.5.2"	"Gamma-aminobutyric acid receptor-associated protein - Homo sapiens (Human)."
"YBL079W"	"gnl|TC-DB|P38181|1.I.1.1.1"	100	1502	0	0	1	1502	1	1502	0	2746.5	"1.I.1.1.1"	"Nucleoporin NUP170 - Saccharomyces cerevisiae (Baker's yeast)."
"YBL089W"	"gnl|TC-DB|P38176|2.A.18.6.10"	100	459	0	0	1	459	1	459	2.6e-257	884	"2.A.18.6.10"	"Vacuolar amino acid transporter 5 OS=Saccharomyces cerevisiae GN=AVT5 PE=2 SV=2"
"YBL089W"	"gnl|TC-DB|P40074|2.A.18.6.6"	52.1	468	189	9	1	454	1	447	4.3e-119	424.9	"2.A.18.6.6"	"Hypothetical 48.8 kDa protein in SSU81-SCS2 intergenic region - Saccharomyces cerevisiae (Baker's yeast). "
"YBL099W"	"gnl|TC-DB|P07251|3.A.2.1.3"	100	545	0	0	1	545	1	545	2.2e-300	1027.3	"3.A.2.1.3"	"ATP synthase alpha chain, mitochondrial precursor (EC 3.6.1.34) - Saccharomyces cerevisiae (Baker's yeast)."
"YBL099W"	"gnl|TC-DB|Q24HY8|3.A.2.1.4"	68.4	494	156	0	35	528	29	522	9.4e-198	686.4	"3.A.2.1.4"	"ATP synthase subunit alpha OS=Tetrahymena thermophila (strain SB210) GN=TTHERM_00571860 PE=3 SV=2"
"YBL099W"	"gnl|TC-DB|A1B8N8|3.A.2.1.7"	65.9	507	171	2	41	545	4	510	1.2e-189	659.4	"3.A.2.1.7"	"ATP synthase subunit alpha OS=Paracoccus denitrificans (strain Pd 1222) GN=atpA PE=3 SV=1"
"YBL099W"	"gnl|TC-DB|A0ZW40|3.A.2.1.11"	65.8	471	158	1	66	536	85	552	1e-172	603.2	"3.A.2.1.11"	"ATP synthase subunit alpha OS=Polytomella sp. Pringsheim 198.80 GN=atp1 PE=2 SV=1"
"YBL099W"	"gnl|TC-DB|P29706|3.A.2.1.2"	59	507	199	3	39	545	2	499	3e-164	575.1	"3.A.2.1.2"	"ATP synthase alpha chain, sodium ion specific (EC 3.6.3.15) - Propionigenium modestum."
"YBL099W"	"gnl|TC-DB|BAK19946|3.A.2.1.10"	57.8	505	205	1	41	545	5	501	3.4e-163	571.6	"3.A.2.1.10"	"ApH+ATPase alpha subunit [Aphanothece halophytica]"
"YBL099W"	"gnl|TC-DB|P50000|3.A.2.1.5"	56.7	506	207	4	41	545	4	498	1.3e-159	559.7	"3.A.2.1.5"	"ATP synthase subunit alpha, sodium ion specific OS=Acetobacterium woodii (strain ATCC 29683 / DSM 1030 / JCM 2381 / KCTC 1655) GN=atpA PE=3 SV=3"
"YBL099W"	"gnl|TC-DB|F8L1Z3|3.A.2.1.6"	54.7	501	219	1	41	541	4	496	9.5e-158	553.5	"3.A.2.1.6"	"ATP synthase subunit alpha OS=Parachlamydia acanthamoebae (strain UV7) GN=atpA-B PE=3 SV=1"
"YBL099W"	"gnl|TC-DB|P0ABB0|3.A.2.1.1"	53.4	513	220	2	43	544	6	510	2.7e-152	535.4	"3.A.2.1.1"	"ATP synthase subunit alpha - Escherichia coli."
"YBL099W"	"gnl|TC-DB|BAK19938|3.A.2.1.9"	49	478	236	1	63	540	33	502	2.4e-129	459.1	"3.A.2.1.9"	"ApNa+ATPase alpha subunit [Aphanothece halophytica]"
"YBL099W"	"gnl|TC-DB|Q4QJF1|2.A.91.1.1"	50.9	411	181	5	98	496	80	481	2.6e-107	386	"2.A.91.1.1"	"ATP synthase subunit alpha - Leishmania major."
"YBR008C"	"gnl|TC-DB|P38124|2.A.1.2.17"	100	548	0	0	1	548	1	548	0	1089.7	"2.A.1.2.17"	"Fluconazole resistance protein 1 - Saccharomyces cerevisiae (Baker's yeast)."
"YBR021W"	"gnl|TC-DB|P05316|2.A.39.3.2"	100	633	0	0	1	633	1	633	0	1290.4	"2.A.39.3.2"	"URACIL PERMEASE - Saccharomyces cerevisiae (Baker's yeast)."
"YBR021W"	"gnl|TC-DB|Q04895|2.A.39.3.1"	70.2	598	177	1	34	630	35	632	1e-267	919.1	"2.A.39.3.1"	"ALLANTOIN PERMEASE (ALLANTOIN TRANSPORT PROTEIN) - Saccharomyces cerevisiae (Baker's yeast)."
"YBR021W"	"gnl|TC-DB|P38196|2.A.39.3.3"	50.3	586	266	7	27	606	53	619	2.2e-174	609	"2.A.39.3.3"	"URIDINE PERMEASE - Saccharomyces cerevisiae (Baker's yeast)."
"YBR021W"	"gnl|TC-DB|R9WAS9|2.A.39.3.13"	47.8	546	270	8	53	595	14	547	8.2e-153	537.3	"2.A.39.3.13"	"Uracil permease OS=Clavispora lusitaniae GN=FUR4 PE=4 SV=1"
"YBR023C"	"gnl|TC-DB|P29465|4.D.1.1.12"	100	1165	0	0	1	1165	1	1165	0	2305	"4.D.1.1.12"	"Chitin synthase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHS3 PE=1 SV=3"
"YBR036C"	"gnl|TC-DB|P35206|2.A.7.27.1"	99.8	410	1	0	1	410	1	410	4.4e-216	746.9	"2.A.7.27.1"	"Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2 precursor - Saccharomyces cerevisiae (Baker's yeast)."
"YBR039W"	"gnl|TC-DB|P38077|3.A.2.1.3"	100	311	0	0	1	311	1	311	1.4e-169	592	"3.A.2.1.3"	"ATP synthase gamma chain, mitochondrial precursor (EC 3.6.1.34) - Saccharomyces cerevisiae (Baker's yeast)."
"YBR040W"	"gnl|TC-DB|P38224|1.A.81.1.1"	100	298	0	0	1	298	1	298	7.2e-160	559.7	"1.A.81.1.1"	"Factor-induced gene 1 protein - Saccharomyces cerevisiae (Baker's yeast)."
"YBR041W"	"gnl|TC-DB|P38225|4.C.1.1.2"	100	669	0	0	1	669	1	669	0	1367.1	"4.C.1.1.2"	"PROBABLE LONG-CHAIN FATTY ACID TRANSPORT PROTEIN - Saccharomyces cerevisiae (Baker's yeast)."
"YBR043C"	"gnl|TC-DB|P38227|2.A.1.2.43"	99.9	689	1	0	1	689	1	689	0	1338.6	"2.A.1.2.43"	"Uncharacterized transporter YBR043C OS=Saccharomyces cerevisiae GN=YBR043C PE=1 SV=1"
"YBR054W"	"gnl|TC-DB|P38079|3.E.1.4.8"	100	307	0	0	1	307	1	307	2.8e-179	624.4	"3.E.1.4.8"	"Protein YRO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRO2 PE=1 SV=1"
"YBR054W"	"gnl|TC-DB|Q12117|3.E.1.4.6"	72.4	294	80	1	1	293	1	294	6e-126	447.2	"3.E.1.4.6"	"Protein MRH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRH1 PE=1 SV=1"
"YBR068C"	"gnl|TC-DB|P38084|2.A.3.10.6"	99.7	609	2	0	1	609	1	609	0	1185.2	"2.A.3.10.6"	"LEU/VAL/ILE amino-acid permease (Branched-chain amino-acid permease 2) - Saccharomyces cerevisiae (Baker's yeast)."
"YBR068C"	"gnl|TC-DB|P41815|2.A.3.10.27"	72.3	610	158	3	4	609	2	604	6.2e-259	889.8	"2.A.3.10.27"	"Valine amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAP3 PE=1 SV=2"
"YBR068C"	"gnl|TC-DB|P25376|2.A.3.10.7"	53.5	608	260	3	22	609	29	633	1.6e-182	636	"2.A.3.10.7"	"Asparagine/glutamine permease - Saccharomyces cerevisiae (Baker's yeast)."
"YBR068C"	"gnl|TC-DB|P48813|2.A.3.10.5"	50.8	638	281	4	5	609	26	663	1.6e-177	619.4	"2.A.3.10.5"	"High-affinity glutamine permease - Saccharomyces cerevisiae (Baker's yeast)."
"YBR068C"	"gnl|TC-DB|P38085|2.A.3.10.9"	52.4	553	239	6	32	579	40	573	3.5e-153	538.5	"2.A.3.10.9"	"Valine/tyrosine/tryptophan amino-acid permease - Saccharomyces cerevisiae (Baker's yeast)."
"YBR068C"	"gnl|TC-DB|P06775|2.A.3.10.1"	45.2	549	289	4	71	609	57	603	1.1e-130	463.8	"2.A.3.10.1"	"Histidine permease - Saccharomyces cerevisiae (Baker's yeast)."
"YBR069C"	"gnl|TC-DB|P38085|2.A.3.10.9"	100	619	0	0	1	619	1	619	0	1156.4	"2.A.3.10.9"	"Valine/tyrosine/tryptophan amino-acid permease - Saccharomyces cerevisiae (Baker's yeast)."
"YBR069C"	"gnl|TC-DB|P25376|2.A.3.10.7"	50.7	612	278	5	14	619	40	633	2.2e-163	572.4	"2.A.3.10.7"	"Asparagine/glutamine permease - Saccharomyces cerevisiae (Baker's yeast)."
"YBR069C"	"gnl|TC-DB|P48813|2.A.3.10.5"	54.4	529	218	4	97	619	152	663	8.8e-160	560.5	"2.A.3.10.5"	"High-affinity glutamine permease - Saccharomyces cerevisiae (Baker's yeast)."
"YBR069C"	"gnl|TC-DB|P41815|2.A.3.10.27"	54.1	521	225	6	66	573	55	574	1.3e-155	546.6	"2.A.3.10.27"	"Valine amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAP3 PE=1 SV=2"
"YBR069C"	"gnl|TC-DB|P38084|2.A.3.10.6"	52.3	553	240	6	40	573	32	579	8.8e-152	533.9	"2.A.3.10.6"	"LEU/VAL/ILE amino-acid permease (Branched-chain amino-acid permease 2) - Saccharomyces cerevisiae (Baker's yeast)."
"YBR069C"	"gnl|TC-DB|P19145|2.A.3.10.2"	45.9	523	265	6	62	570	51	569	2e-127	453	"2.A.3.10.2"	"General amino-acid permease GAP1 - Saccharomyces cerevisiae (Baker's yeast)."
"YBR080C"	"gnl|TC-DB|P18759|1.F.1.1.2"	100	758	0	0	1	758	1	758	0	1490.3	"1.F.1.1.2"	"Vesicular-fusion protein SEC18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC18 PE=1 SV=2"
"YBR080C"	"gnl|TC-DB|P46459|1.F.1.1.1"	46.3	721	369	8	27	738	4	715	4.6e-179	624.8	"1.F.1.1.1"	"Vesicle-fusing ATPase - Homo sapiens (Human)."
"YBR082C"	"gnl|TC-DB|P62837|3.A.20.1.1"	80.6	144	28	0	5	148	4	147	1.7e-69	258.5	"3.A.20.1.1"	"Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens GN=UBE2D2 PE=1 SV=1"
"YBR082C"	"gnl|TC-DB|Q8I607|3.A.16.1.3"	78.3	143	31	0	5	147	4	146	2.6e-65	244.6	"3.A.16.1.3"	"Ubiquitin conjugating enzyme E2, putative OS=Plasmodium falciparum (isolate 3D7) GN=PFL0190w PE=3 SV=1"
"YBR082C"	"gnl|TC-DB|E7Q288|3.A.16.1.2"	45	149	80	2	1	147	1	149	3.4e-33	137.9	"3.A.16.1.2"	"Ubc1p OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_0886 PE=3 SV=1"
"YBR085W"	"gnl|TC-DB|P18238|2.A.29.1.9"	100	307	0	0	1	307	1	307	1e-172	602.4	"2.A.29.1.9"	"ADP,ATP carrier protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAC3 PE=1 SV=1"
"YBR085W"	"gnl|TC-DB|P18239|2.A.29.1.7"	81.8	303	55	0	5	307	16	318	4.3e-139	490.7	"2.A.29.1.7"	"ADP,ATP carrier protein 2 - Saccharomyces cerevisiae (Baker's yeast)."
"YBR085W"	"gnl|TC-DB|P04710|2.A.29.1.3"	74.2	306	78	1	3	307	4	309	1.4e-134	475.7	"2.A.29.1.3"	"ADP,ATP carrier protein 1 - Saccharomyces cerevisiae (Baker's yeast)."
"YBR085W"	"gnl|TC-DB|P31167|2.A.29.1.5"	66.9	299	97	2	10	306	78	376	2.7e-109	391.7	"2.A.29.1.5"	"ADP,ATP carrier protein 1, mitochondrial - Arabidopsis thaliana (Mouse-ear cress)."
"YBR085W"	"gnl|TC-DB|Q8TFA7|2.A.29.1.4"	63	308	112	2	1	307	1	307	1.7e-108	389	"2.A.29.1.4"	"ADP/ATP carrier - Neocallimastix frontalis (Rumen fungus)."
"YBR085W"	"gnl|TC-DB|Q8LB08|2.A.29.1.6"	61	292	113	1	12	302	10	301	1.7e-100	362.5	"2.A.29.1.6"	"ADP,ATP carrier protein ER-ANT1 OS=Arabidopsis thaliana GN=ER-ANT1 PE=2 SV=2"
"YBR085W"	"gnl|TC-DB|P12236|2.A.29.1.10"	53.7	300	130	5	7	301	3	298	9e-81	297	"2.A.29.1.10"	"ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4"
"YBR085W"	"gnl|TC-DB|P05141|2.A.29.1.1"	54.6	293	124	5	11	298	7	295	7.6e-80	293.9	"2.A.29.1.1"	"ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=6"
"YBR085W"	"gnl|TC-DB|Q9H0C2|2.A.29.1.8"	54.1	292	127	5	10	298	18	305	1.6e-77	286.2	"2.A.29.1.8"	"ADP/ATP translocase 4 OS=Homo sapiens GN=SLC25A31 PE=1 SV=1"
"YBR085W"	"gnl|TC-DB|P12235|2.A.29.1.2"	52.2	293	131	5	11	298	7	295	2.7e-77	285.4	"2.A.29.1.2"	"ADP,ATP carrier protein, heart/skeletal muscle isoform T1 (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1) - Homo sapiens (Human)."
"YBR086C"	"gnl|TC-DB|P38250|1.A.17.1.19"	100	946	0	0	1	946	1	946	0	1634.4	"1.A.17.1.19"	"Increased sodium tolerance protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IST2 PE=1 SV=2"
"YBR102C"	"gnl|TC-DB|P38261|1.F.2.1.1"	100	753	0	0	1	753	1	753	0	1434.5	"1.F.2.1.1"	"Exocyst complex component EXO84 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EXO84 PE=1 SV=1"
"YBR104W"	"gnl|TC-DB|P38087|2.A.29.8.11"	100	329	0	0	1	329	1	329	2.5e-190	661	"2.A.29.8.11"	"Carrier protein YMC2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMC2 PE=1 SV=1"
"YBR104W"	"gnl|TC-DB|P32331|2.A.29.8.12"	64.1	329	94	3	1	327	1	307	1.3e-117	419.5	"2.A.29.8.12"	"Carrier protein YMC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMC1 PE=1 SV=2"
"YBR106W"	"gnl|TC-DB|P38264|9.A.64.1.1"	100	188	0	0	1	188	1	188	1.5e-102	368.6	"9.A.64.1.1"	"SRP-independent targeting protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO88 PE=1 SV=1"
"YBR109C"	"gnl|TC-DB|K4DIE3|8.A.82.1.7"	56.6	113	49	0	5	117	288	400	3.8e-29	124.4	"8.A.82.1.7"	"RCaMP OS=Entacmaea quadricolor OX=6118 PE=1 SV=1"
"YBR111W-A"	"gnl|TC-DB|Q6WNK7|3.A.22.1.1"	100	96	0	0	1	96	1	96	1.3e-46	181.8	"3.A.22.1.1"	"Protein SUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUS1 PE=1 SV=1"
"YBR127C"	"gnl|TC-DB|P16140|3.A.2.2.3"	99.8	517	1	0	1	517	1	517	1.3e-297	1018.1	"3.A.2.2.3"	"VACUOLAR ATP SYNTHASE SUBUNIT B (EC 3.6.1.34) (V-ATPASE B SUBUNIT) (VACUOLAR PROTON PUMP B SUBUNIT) (V-ATPASE 57 KDA SUBUNIT) - Saccharomyces cerevisiae (Baker's yeast)."
