"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"collapsed_sign"	"Remark"	"panID_b"	"AAlength_b"	"panID_p"	"AAlength_p"	"CHECK"
"S000000179"	"YBL083C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps verified ORF ALG3"	"Dubious"	NA	NA	"1954-YBL082C_NumOfGenes_2"	NA	"find panID based blast"	"1954-YBL082C_NumOfGenes_2"	"129"	"1954-YBL082C_NumOfGenes_2"	"129"	TRUE
"S000000190"	"YBL094C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YBL095W"	"Dubious"	NA	NA	"1966-YBL095W_NumOfGenes_2"	NA	"find panID based blast"	"1966-YBL095W_NumOfGenes_2"	"108"	"1966-YBL095W_NumOfGenes_2"	"108"	TRUE
"S000000196"	"YBL100C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the 5' end of ATP1"	"Dubious"	NA	NA	"1970-YBL099W_NumOfGenes_2"	NA	"find panID based blast"	"1970-YBL099W_NumOfGenes_2"	"83"	"1970-YBL099W_NumOfGenes_2"	"83"	TRUE
"S000000235"	"YBR031W"	"S. cerevisiae"	"RPL4A"	"Ribosomal Protein of the Large subunit"	"Ribosomal 60S subunit protein L4A"	"Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication"	"Verified"	"Subunit of the cytosolic large ribosomal subunit; involved in translation|uniprot_proteome=UP000002311"	NA	"2702-YDR012W_NumOfGenes_2"	NA	"find panID based blast"	"2702-YDR012W_NumOfGenes_2"	"363"	"2702-YDR012W_NumOfGenes_2"	"363"	TRUE
"S000000268"	"YBR064W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YBR063C"	"Dubious"	NA	NA	"2045-YBR063C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2045-YBR063C_NumOfGenes_2"	"140"	"2045-YBR063C_NumOfGenes_2"	"140"	TRUE
"S000000272"	"YBR068C"	"S. cerevisiae"	"BAP2"	"Branched-chain Amino acid Permease"	"High-affinity leucine permease"	"High-affinity leucine permease; functions as a branched-chain amino acid permease involved in uptake of leucine, isoleucine and valine; contains 12 predicted transmembrane domains; BAP2 has a paralog, BAP3, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant displays decreased competitive fitness on various synthetic media; null mutant displays reduced uptake of isoleucine, leucine, and valine in a background lacking the general amino acid permease GAP1; homozygous diploid null mutant has increased sporulation efficiency; null mutant has decreased resistance to acid pH and methylmercury chloride; overexpression results in a reduction in vegetative growth rate, and increased cold sensitivity"	"2736-YDR046C_NumOfGenes_2"	NA	"find panID based blast"	"2736-YDR046C_NumOfGenes_2"	"611"	"1566-maker-AQD_4-6575"	"586"	FALSE
"S000000293"	"YBR089W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30"	"Dubious"	NA	NA	"2071-YBR088C_NumOfGenes_2"	NA	"find panID based blast"	"2071-YBR088C_NumOfGenes_2"	"194"	"2071-YBR088C_NumOfGenes_2"	"194"	TRUE
"S000000303"	"YBR099C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene MMS4"	"Dubious"	NA	NA	"2081-YBR098W_NumOfGenes_2"	NA	"find panID based blast"	"2081-YBR098W_NumOfGenes_2"	"128"	"2081-YBR098W_NumOfGenes_2"	"128"	TRUE
"S000000322"	"YBR118W"	"S. cerevisiae"	"TEF2"	"Translation Elongation Factor"	"Translational elongation factor EF-1 alpha"	"Translational elongation factor EF-1 alpha; in the GTP-bound active form, binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; associates with vacuolar Rho1p GTPase; TEF2-RFP levels increase during replicative aging; may also have a role in tRNA re-export from the nucleus; TEF2 has a paralog, TEF1, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutants are sensitive to TOR inhibitor rapamycin; heterozygous diploid null mutants are heat-tolerant, have unstable chromosomes, and are sensitive to various antibiotics; overexpression increases cell size, interferes with the cell cycle, slows growth, and disturbs the actin cytoskeleton"	"7703-YPR080W_NumOfGenes_2"	NA	"find panID based blast"	"7703-YPR080W_NumOfGenes_2"	"459"	"7703-YPR080W_NumOfGenes_2"	"459"	TRUE
"S000000378"	"YBR174C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YBR175W; null mutant is viable and sporulation defective"	"Dubious"	NA	NA	"2159-YBR175W_NumOfGenes_2"	NA	"find panID based blast"	"2159-YBR175W_NumOfGenes_2"	"81"	"2159-YBR175W_NumOfGenes_2"	"81"	TRUE
"S000000436"	"YBR232C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"2223-YBR233W_NumOfGenes_2"	NA	"find panID based blast"	"2223-YBR233W_NumOfGenes_2"	"101"	"2223-YBR233W_NumOfGenes_2"	"101"	TRUE
"S000000470"	"YBR266C"	"S. cerevisiae"	"SLM6"	"Synthetic Lethal with Mss4"	"Protein with a potential role in actin cytoskeleton organization"	"Protein with a potential role in actin cytoskeleton organization; gene exhibits synthetic genetic interaction with MSS4 encoding phosphatidylinositol 4-phosphate kinase"	"Dubious"	NA	NA	"2258-YBR267W_NumOfGenes_2"	NA	"find panID based blast"	"2258-YBR267W_NumOfGenes_2"	"151"	"2258-YBR267W_NumOfGenes_2"	"151"	TRUE
"S000000481"	"YBR277C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YBR278W"	"Dubious"	NA	NA	"2268-YBR278W_NumOfGenes_2"	NA	"find panID based blast"	"2268-YBR278W_NumOfGenes_2"	"107"	"2268-YBR278W_NumOfGenes_2"	"107"	TRUE
"S000000503"	"YBR299W"	"S. cerevisiae"	"MAL32"	"MALtose"	"Maltase (alpha-D-glucosidase)"	"Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL3 complex locus; functional in genomic reference strain S288C; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose"	"Verified"	NA	NA	"4191-YGR292W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"4191-YGR292W_NumOfGenes_2"	"585"	"4191-YGR292W_NumOfGenes_2"	"585"	TRUE
"S000000504"	"YBR300C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YBR301W; YBR300C is not an essential gene"	"Dubious"	NA	NA	"4192-YGR293C_NumOfGenes_2"	NA	"find panID based blast"	"4192-YGR293C_NumOfGenes_2"	"121"	"4192-YGR293C_NumOfGenes_2"	"43"	TRUE
"S000000505"	"YBR301W"	"S. cerevisiae"	"PAU24"	"seriPAUperin family"	"Cell wall mannoprotein"	"Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions, completely repressed during aerobic growth"	"Verified"	"Protein whose biological role is unknown; localizes to the cell wall|uniprot_proteome=UP000002311"	NA	"156-augustus_masked-2151-BRV_4"	NA	"find panID based blast"	"156-augustus_masked-2151-BRV_4"	"121"	"1979-YBL108C-A_NumOfGenes_18"	"43"	FALSE
"S000000506"	"YBR302C"	"S. cerevisiae"	"COS2"	"COnserved Sequence"	"Endosomal protein involved in turnover of plasma membrane proteins"	"Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins"	"Verified"	"Protein predicted to have a role in the multivesicular body sorting pathway; localizes to the endosome; detected in the vacuole in a large-scale study|uniprot_proteome=UP000002311"	NA	"6717-YNL336W_NumOfGenes_11"	"collapse"	"find panID based on not collapsed gene"	"6717-YNL336W_NumOfGenes_11"	"382"	"6717-YNL336W_NumOfGenes_11"	"382"	TRUE
"S000000513"	"YCL007C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps verified ORF YCL005W-A; mutations in YCL007C were thought to confer sensitivity to calcofluor white, but this phenotype was later shown to be due to the defect in YCL005W-A"	"Dubious"	NA	NA	"2296-YCL005W-A_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2296-YCL005W-A_NumOfGenes_2"	"114"	"2296-YCL005W-A_NumOfGenes_2"	"114"	TRUE
"S000000529"	"YCL024W"	"S. cerevisiae"	"KCC4"	NA	"Protein kinase of the bud neck involved in the septin checkpoint"	"Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog, GIN4, that arose from the whole genome duplication"	"Verified"	"Protein kinase that is involved in septin ring assembly, morphogenesis checkpoint and budding cell bud growth; plasma membrane localization is regulated by interactions with acidic phospholipids; also localizes to the incipient bud site and bud neck|uniprot_proteome=UP000002311"	NA	"2307-YCL022C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"3195-YDR507C_NumOfGenes_2"	"1147"	"2307-YCL022C_NumOfGenes_2"	"171"	FALSE
"S000000551"	"YCL046W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YCL045C"	"Dubious"	NA	NA	"2330-YCL045C_NumOfGenes_2"	NA	"find panID based blast"	"2330-YCL045C_NumOfGenes_2"	"88"	"2330-YCL045C_NumOfGenes_2"	"88"	TRUE
"S000000563"	"YCL058C"	"S. cerevisiae"	"FYV5"	"Function required for Yeast Viability"	"Protein involved in regulation of the mating pathway"	"Protein involved in regulation of the mating pathway; binds with Matalpha2p to promoters of haploid-specific genes; required for survival upon exposure to K1 killer toxin; involved in ion homeostasis"	"Verified"	NA	NA	"2344-YCL058W-A_NumOfGenes_2"	NA	"find panID based blast"	"2344-YCL058W-A_NumOfGenes_2"	"113"	"2344-YCL058W-A_NumOfGenes_2"	"113"	TRUE
"S000000570"	"YCL065W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps HMLALPHA1"	"Dubious"	NA	NA	"2392-YCR041W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2392-YCR041W_NumOfGenes_2"	"110"	"2441-YCR097W-A"	"67"	FALSE
"S000000571"	"YCL066W"	"S. cerevisiae"	"HMLALPHA1"	"Hidden Mat Left ALPHA"	"Silenced copy of ALPHA1 at HML"	"Silenced copy of ALPHA1 at HML; ALPHA1 encodes a transcriptional coactivator involved in the regulation of mating-type alpha-specific gene expression"	"Verified"	NA	NA	"2391-YCR040W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2391-YCR040W_NumOfGenes_2"	"176"	"2391-YCR040W_NumOfGenes_2"	"176"	TRUE
"S000000573"	"YCL068C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"2390-YCR038C_NumOfGenes_3"	NA	"find panID based blast"	"2390-YCR038C_NumOfGenes_3"	"260"	"2390-YCR038C_NumOfGenes_3"	"260"	TRUE
"S000000574"	"YCL069W"	"S. cerevisiae"	"VBA3"	"Vacuolar Basic Amino acid transporter"	"Permease of basic amino acids in the vacuolar membrane"	"Permease of basic amino acids in the vacuolar membrane; VBA3 has a paralog, VBA5, that arose from a segmental duplication"	"Verified"	NA	NA	"5398-YKR105C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"5398-YKR105C_NumOfGenes_2"	"459"	"5398-YKR105C_NumOfGenes_2"	"459"	TRUE
"S000000575"	"YCL073C"	"S. cerevisiae"	"GEX1"	"Glutathione EXchanger"	"Proton:glutathione antiporter"	"Proton:glutathione antiporter; localized to the vacuolar and plasma membranes; imports glutathione from the vacuole and exports it through the plasma membrane; has a role in resistance to oxidative stress and modulation of the PKA pathway; GEX1 has a paralog, GEX2, that arose from a segmental duplication"	"Verified"	NA	NA	"5399-YKR106W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"5399-YKR106W_NumOfGenes_2"	"616"	"5399-YKR106W_NumOfGenes_2"	"616"	TRUE
"S000000581"	"YCL076W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"7848-YCLWTy5-1_NumOfGenes_4"	"collapse"	"find panID based on not collapsed gene"	"7848-YCLWTy5-1_NumOfGenes_4"	"248"	"7848-YCLWTy5-1_NumOfGenes_4"	"248"	TRUE
"S000000606"	"YCR013C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; transcription of both YCR013C and the overlapping essential gene PGK1 is reduced in a gcr1 null mutant"	"Dubious"	NA	NA	"2361-YCR012W_NumOfGenes_2"	NA	"find panID based blast"	"2361-YCR012W_NumOfGenes_2"	"198"	"2361-YCR012W_NumOfGenes_2"	"198"	TRUE
"S000000635"	"YCR039C"	"S. cerevisiae"	"MATALPHA2"	"MATing type protein ALPHA"	"Homeobox-domain protein"	"Homeobox-domain protein; with Mcm1p, represses a-specific genes in haploids; acts with A1p to repress transcription of haploid-specific genes in diploids; one of two genes encoded by the MATalpha mating type cassette"	"Verified"	"Sequence-specific DNA-binding transcription repressor involved in the negative regulation of mating-type specific transcription by RNA polymerase II|uniprot_proteome=UP000002311"	"Non-essential gene; null mutants show decreased mating and sporulation efficiency; overexpression interferes with cellular morphology and budding pattern, and can be lethal"	"2349-YCL067C_NumOfGenes_3"	NA	"find panID based blast"	"2349-YCL067C_NumOfGenes_3"	"211"	"2349-YCL067C_NumOfGenes_3"	"211"	TRUE
"S000000641"	"YCR045C"	"S. cerevisiae"	"RRT12"	"Regulator of rDNA Transcription"	"Probable subtilisin-family protease"	"Probable subtilisin-family protease; role in formation of the dityrosine layer of spore walls; localizes to the spore wall and also the nuclear envelope and ER region in mature spores"	"Verified"	NA	NA	"2396-YCR045W-A_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2396-YCR045W-A_NumOfGenes_2"	"116"	"2396-YCR045W-A_NumOfGenes_2"	"116"	TRUE
"S000000645"	"YCR049C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"2399-YCR048W_NumOfGenes_3"	NA	"find panID based blast"	"2399-YCR048W_NumOfGenes_3"	"129"	"2399-YCR048W_NumOfGenes_3"	"129"	TRUE
"S000000646"	"YCR050C"	"S. cerevisiae"	NA	NA	"Non-essential protein of unknown function"	"Non-essential protein of unknown function; deletion mutant is synthetically sick or lethal with alpha-synuclein"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"2399-YCR048W_NumOfGenes_3"	NA	"find panID based blast"	"2399-YCR048W_NumOfGenes_3"	"99"	"2399-YCR048W_NumOfGenes_3"	"99"	TRUE
"S000000692"	"YCR096C"	"S. cerevisiae"	"HMRA2"	"Hidden Mat Right A"	"Silenced copy of a2 at HMR"	"Silenced copy of a2 at HMR; similarity to Alpha2p; required along with a1p for inhibiting expression of the HO endonuclease in a/alpha HO/HO diploid cells with an active mating-type interconversion system"	"Verified"	NA	NA	"2349-YCL067C_NumOfGenes_3"	NA	"find panID based blast"	"2349-YCL067C_NumOfGenes_3"	"120"	"2349-YCL067C_NumOfGenes_3"	"120"	TRUE
"S000000701"	"YCR104W"	"S. cerevisiae"	"PAU3"	"seriPAUperin family"	"Member of the seripauperin multigene family"	"Member of the seripauperin multigene family; encoded mainly in subtelomeric region; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme"	"Verified"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"7349-YOR394W_NumOfGenes_7"	"collapse"	"find panID based on not collapsed gene"	"5498-YLR037C"	"125"	"7349-YOR394W_NumOfGenes_7"	"93"	FALSE
"S000000775"	"YEL049W"	"S. cerevisiae"	"PAU2"	"seriPAUperin family"	"Member of the seripauperin multigene family"	"Member of the seripauperin multigene family; encoded mainly in subtelomeric region; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme"	"Verified"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"156-augustus_masked-2151-BRV_4"	NA	"find panID based blast"	"156-augustus_masked-2151-BRV_4"	"121"	"1979-YBL108C-A_NumOfGenes_18"	"43"	FALSE
"S000000795"	"YEL069C"	"S. cerevisiae"	"HXT13"	"HeXose Transporter"	"Putative transmembrane polyol transporter"	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by non-fermentable carbon sources; induced in low glucose, repressed in high glucose; HXT13 has a paralog, HXT17, that arose from a segmental duplication"	"Verified"	NA	NA	"6791-YNR072W_NumOfGenes_4"	"collapse"	"find panID based on not collapsed gene"	"6791-YNR072W_NumOfGenes_4"	"564"	"6791-YNR072W_NumOfGenes_4"	"564"	TRUE
"S000000796"	"YEL070W"	"S. cerevisiae"	"DSF1"	"Deletion Suppressor of mptFive/pufFive mutation"	"Mannitol dehydrogenase"	"Mannitol dehydrogenase; deletion suppresses mutation of mpt5; DSF1 has a paralog, MAN2, that arose from a segmental duplication"	"Verified"	"Mannitol dehydrogenase  whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"6792-YNR073C_NumOfGenes_3"	"collapse"	"find panID based on not collapsed gene"	"6792-YNR073C_NumOfGenes_3"	"503"	"6792-YNR073C_NumOfGenes_3"	"503"	TRUE
"S000000801"	"YEL075C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"collapse"	"find panID based on not collapsed gene"	"5919-YLR467W_NumOfGenes_63"	"104"	"3309-YEL075W-A_NumOfGenes_2"	"45"	FALSE
"S000000802"	"YEL076C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"collapse"	"find panID based on not collapsed gene"	"5919-YLR467W_NumOfGenes_63"	"206"	"3309-YEL075W-A_NumOfGenes_2"	"81"	FALSE
"S000000841"	"YER039C"	"S. cerevisiae"	"HVG1"	"Homologous to VRG4"	"Protein of unknown function"	"Protein of unknown function; HVG1 has a paralog, VRG4, that arose from the whole genome duplication"	"Verified"	"Predicted integral membrane protein whose biological role is unknown|uniprot_proteome=UP000002311"	NA	"3864-YGL225W"	NA	"find panID based blast"	"3864-YGL225W"	"240"	"3352-YER038W-A_NumOfGenes_2"	"125"	FALSE
"S000000991"	"YER189W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"collapse"	"find panID based on not collapsed gene"	"5919-YLR467W_NumOfGenes_63"	"104"	"5919-YLR467W_NumOfGenes_63"	"104"	TRUE
"S000000992"	"YER190W"	"S. cerevisiae"	"YRF1-2"	NA	"Helicase encoded by the Y' element of subtelomeric regions"	"Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p; induced by treatment with 8-methoxypsoralen and UVA irradiation"	"Verified"	"DNA helicase involved in telomere maintenance via recombination|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"collapse"	"find panID based on not collapsed gene"	"5919-YLR467W_NumOfGenes_63"	"1683"	"662-snap_masked-643-BBP_3"	"26"	FALSE
"S000001038"	"YHL046C"	"S. cerevisiae"	"PAU13"	"seriPAUperin"	"Protein of unknown function"	"Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expression is induced after ethanol shock; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"	"Verified"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"156-augustus_masked-2151-BRV_4"	NA	"find panID based blast"	"156-augustus_masked-2151-BRV_4"	"121"	"1979-YBL108C-A_NumOfGenes_18"	"43"	FALSE
"S000001041"	"YHL049C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"collapse"	"find panID based on not collapsed gene"	"5919-YLR467W_NumOfGenes_63"	"267"	"5919-YLR467W_NumOfGenes_63"	"267"	TRUE
