"Gene.Name"	"Accession.1"	"gene_standard_name"	"Left.End.Position"	"Right.End.Position"	"Product"	"Pathways.of.gene"	"ec"	"reaction_biocyc"
"SER3"	"SER3"	"YER081W"	322686	324095	"3-phosphoglycerate dehydrogenase"	"superpathway of serine and glycine biosynthesis I // serine biosynthesis from 3-phosphoglycerate"	NA	"3-phospho-D-glycerate + NAD+ => 3-phospho-hydroxypyruvate + NADH + H+"
"MMS21"	"YEL019C"	"YEL019C"	120498	121301	"Methyl MethaneSulfonate sensitivity"	NA	NA	NA
"EMC6"	"YLL014W"	"YLL014W"	121322	121648	"ER Membrane protein Complex"	NA	NA	NA
"IAH1"	"IAH1"	"YOR126C"	559961	560677	"isoamyl acetate-hydrolyzing esterase"	NA	NA	NA
"YMD8"	"YML038C"	"YML038C"	202775	204103	"YMD8"	NA	NA	NA
"VMA2"	"YBR127C"	"YBR127C"	491269	492822	"Vacuolar Membrane Atpase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine nucleotides <i>de novo</i> biosynthesis // adenosine ribonucleotides <i>de novo</i> biosynthesis"	NA	"ADP + phosphate + 4 H+[out] <=> ATP + H2O + 3 H+[in]"
"YPT53"	"YNL093W"	"YNL093W"	449868	450530	"Yeast Protein Two"	NA	NA	NA
"SOH1"	"YGL127C"	"YGL127C"	270392	270775	"Suppressor Of Hpr1"	NA	NA	NA
"AZF1"	"YOR113W"	"YOR113W"	534075	536819	"Asparagine-rich Zinc-Finger"	NA	NA	NA
"YDL183C"	"YDL183C"	"YDL183C"	130871	131833	"Mitochondrial K+/H+ exchange Related"	NA	NA	NA
"SSZ1"	"YHR064C"	"YHR064C"	225525	227141	"SSZ1"	NA	NA	NA
"BAP3"	"YDR046C"	"YDR046C"	548762	550576	"Branched-chain Amino acid Permease"	NA	NA	NA
"MMT2"	"YPL224C"	"YPL224C"	126634	128088	"Mitochondrial Metal Transporter"	NA	NA	NA
"HAL5"	"YJL165C"	"YJL165C"	106894	109461	"HALotolerance"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
"PRB1"	"PRB1"	"YEL060C"	40046	41953	"vacuolar protease B"	NA	"3.4.21.48"	"a protein + H2O => a peptide + a peptide"
"MHF2"	"YDL160C-A"	"YDL160C-A"	169366	169608	"Mph1-associated Histone-Fold protein"	NA	NA	NA
"DID2"	"YKR035W-A"	"YKR035W-A"	507939	508553	"Doa4-Independent Degradation"	NA	NA	NA
"MPD2"	"MPD2"	"YOL088C"	153912	154745	"protein disulfide isomerase"	NA	"5.3.4.1"	"a protein with incorrect disulfide bonds = a protein with correct disulfide bonds"
"TRM9"	"YML014W"	"YML014W"	243225	244064	"tRNA (carboxymethyluridine<small><sup>34</sup></small>-5-<em>O</em>)-methyltransferase"	"tRNA methylation"	NA	"a carboxymethyluridine34 in tRNA + S-adenosyl-L-methionine => a 5-(2-methoxy-2-oxoethyl)uridine34 in tRNA + S-adenosyl-L-homocysteine"
"YMC2"	"YBR104W"	"YBR104W"	449667	450656	"Yeast Mitochondrial Carrier"	NA	NA	NA
"MKS1"	"YNL076W"	"YNL076W"	483556	485310	"Multicopy Kinase Suppressor"	NA	NA	NA
"ARC1"	"YGL105W"	"YGL105W"	307437	308567	"Acyl-RNA-Complex"	NA	NA	NA
"VPS21"	"YOR089C"	"YOR089C"	490196	490828	"Vacuolar Protein Sorting"	NA	NA	NA
"MSH5"	"YDL154W"	"YDL154W"	178334	181039	"MutS Homolog"	NA	NA	NA
"RRF1"	"YHR038W"	"YHR038W"	184066	184758	"Ribosome Recycling Factor"	NA	NA	NA
"HRR25"	"YPL204W"	"YPL204W"	164276	165760	"HRR25"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
"YAK1"	"YJL141C"	"YJL141C"	147967	150390	"Yet Another Kinase"	NA	"2.7.12.1"	"ATP + a [protein]-L-serine = ADP + a protein L-serine phosphate + H+"
"PPM1"	"PPM1"	"YDR435C"	1332983	1333969	"carboxy methyl transferase"	NA	NA	NA
"HSP31"	"YDR533C"	"YDR533C"	1501447	1502160	"Heat-Shock Protein"	NA	NA	NA
"SRP40"	"YKR092C"	"YKR092C"	612665	613885	"Serine Rich Protein"	NA	NA	NA
"ARE2"	"ARE2"	"YNR019W"	665339	667267	"acyl-CoA cholesterol acyltransferase"	"sterol:steryl ester interconversion"	NA	"cholesterol + an acyl-CoA = a cholesterol ester + coenzyme A;ergosterol + oleoyl-CoA => ergosteryl oleate + coenzyme A;lanosterol + oleoyl-CoA => lanosteryl oleate + coenzyme A"
"LSM3"	"YLR438C-A"	"YLR438C-A"	1013909	1014178	"Like SM"	NA	NA	NA
"SEC18"	"YBR080C"	"YBR080C"	398614	400890	"SECretory"	NA	NA	NA
"OCA2"	"YNL056W"	"YNL056W"	517249	517842	"Oxidant-induced Cell cycle Arrest"	NA	NA	NA
"MAD1"	"YGL086W"	"YGL086W"	347119	349368	"Mitotic Arrest-Deficient"	NA	NA	NA
"VAM10"	"YOR068C"	"YOR068C"	453869	454213	"VAcuolar Morphogenesis"	NA	NA	NA
"PPH21"	"YDL134C"	"YDL134C"	219662	220771	"Protein PHosphatase"	NA	"3.1.3.16"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"
"VPS29"	"YHR012W"	"YHR012W"	129481	130448	"Vacuolar Protein Sorting"	NA	NA	NA
"MRN1"	"YPL184C"	"YPL184C"	195950	197788	"Multicopy supressor of RSC-Nhp6 synthetic lethality"	NA	NA	NA
"MDV1"	"YJL112W"	"YJL112W"	205305	207449	"Mitochondrial DiVision"	NA	NA	NA
"LYS4"	"LYS4"	"YDR234W"	931129	933210	"homoaconitase"	"L-lysine biosynthesis IV"	NA	"(1R,2S)-homoisocitrate <=> cis-homoaconitate + H2O;(2R)-homocitrate => cis-homoaconitate + H2O;(2R)-homocitrate = (1R,2S)-homoisocitrate"
"GMC1"	"YDR506C"	"YDR506C"	1459728	1461554	"Grand Meiotic recombination Cluster"	NA	NA	NA
"DRE2"	"YKR071C"	"YKR071C"	574934	575980	"Derepressed for Ribosomal protein S14 Expression"	NA	NA	NA
"CHS1"	"CHS1"	"YNL192W"	276502	279897	"chitin synthase 1"	"chitin biosynthesis"	NA	"UDP-N-acetyl-alpha-D-glucosamine + [1,4-(N-acetyl-beta-D-glucosaminyl)]n => UDP + [1,4-(N-acetyl-beta-D-glucosaminyl)](n+1)"
"ECM7"	"YLR443W"	"YLR443W"	1022625	1023971	"ExtraCellular Mutant"	NA	NA	NA
"MNP1"	"YGL068W"	"YGL068W"	375087	375671	"Mitochondrial-Nucleoid Protein"	NA	NA	NA
"MUM2"	"YBR057C"	"YBR057C"	352193	353293	"MUddled Meiosis"	NA	NA	NA
"CRZ1"	"YNL027W"	"YNL027W"	579580	581616	"Calcineurin-Responsive Zinc finger"	NA	NA	NA
"WHI2"	"YOR043W"	"YOR043W"	410870	412330	"WHIskey"	NA	NA	NA
"ATG20"	"YDL113C"	"YDL113C"	256633	258555	"AuTophaGy related"	NA	NA	NA
"MUP3"	"YHL036W"	"YHL036W"	26241	27881	"Methionine UPtake"	NA	NA	NA
"SET6"	"YPL165C"	"YPL165C"	237956	239077	"SET domain-containing"	NA	NA	NA
"SRS2"	"YJL092W"	"YJL092W"	257423	260947	"Suppressor of Rad Six"	NA	NA	NA
"ARO3"	"ARO3"	"YDR035W"	521816	522928	"3-deoxy-D-arabine-heptulosonate-7-phosphate synthase"	"superpathway of chorismate metabolism // superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // chorismate biosynthesis // 3-dehydroquinate biosynthesis"	NA	"phosphoenolpyruvate + D-erythrose 4-phosphate + H2O => 3-deoxy-D-arabino-heptulosonate 7-phosphate + phosphate"
"VPS60"	"YDR486C"	"YDR486C"	1427431	1428120	"Vacuolar Protein Sorting"	NA	NA	NA
"FMP46"	"YKR049C"	"YKR049C"	526830	527231	"Found in Mitochondrial Proteome"	NA	NA	NA
"PRC1"	"PRC1"	"YMR297W"	861922	863520	"carboxypeptidase Y (proteinase C)"	NA	"3.4.16.5"	"a peptide + H2O => a peptide + a proteinogenic amino acid"
"YLR422W"	"YLR422W"	"YLR422W"	965897	971695	"DOCK1 homolog"	NA	NA	NA
"RNA15"	"YGL044C"	"YGL044C"	416146	417036	"RNA synthesis"	NA	NA	NA
"RPL4A"	"YBR031W"	"YBR031W"	300166	301254	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"PET8"	"YNL003C"	"YNL003C"	624975	625829	"PETite colonies"	NA	NA	NA
"AHC1"	"YOR023C"	"YOR023C"	376012	377712	"Ada Histone acetyltransferase complex Component"	NA	NA	NA
"NUR1"	"YDL089W"	"YDL089W"	296820	298274	"NUclear Rim1"	NA	NA	NA
"DUR3"	"YHL016C"	"YHL016C"	72037	74244	"Degradation of URea"	NA	NA	NA
"NOP53"	"YPL146C"	"YPL146C"	276162	277529	"NucleOlar Protein"	NA	NA	NA
"QRI7"	"QRI7"	"YDL104C"	273653	274876	"sialoglycoprotease"	NA	"3.4.24.57"	"a O-sialoglycoprotein + H2O => n a peptide"
"NET1"	"YJL076W"	"YJL076W"	295245	298814	"Nucleolar silencing Establishing factor and Telophase regulator"	NA	NA	NA
"PKH3"	"YDR466W"	"YDR466W"	1395121	1397817	"Pkb-activating Kinase Homolog"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
"RPC37"	"YKR025W"	"YKR025W"	487770	488618	"RNA Polymerase C"	NA	NA	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"
"FOL3"	"FOL3"	"YMR113W"	494999	496282	"FOLic acid synthesis"	"superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis"	NA	"L-glutamate + 7,8-dihydropteroate + ATP => ADP + 7,8-dihydrofolate monoglutamate + phosphate + H+"
"JAC1"	"YGL018C"	"YGL018C"	459110	459664	"co-chaperone for [Fe-S] cluster biosynthesis"	"iron-sulfur cluster biosynthesis"	NA	"a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex + an [Fe-S cluster biosynthesis co-chaperone] => a [co-chaperone]-[scaffold protein-(2Fe-2S)] complex + L-cysteine desulfurase"
"GPI18"	"YBR004C"	"YBR004C"	244366	245667	"GlycosylPhosphatidylInositol"	NA	NA	NA
"YMR310C"	"YMR310C"	"YMR310C"	895716	896669	"YMR310C"	NA	NA	NA
"YSP3"	"YOR003W"	"YOR003W"	331455	332891	"Yeast Subtilisin-like Protease III"	NA	NA	NA
"PEX19"	"YDL065C"	"YDL065C"	336249	337277	"PEroXisome related"	NA	NA	NA
"PAU12"	"YGR294W"	"YGR294W"	1080306	1080668	"seriPAUperin"	NA	NA	NA
"TBF1"	"YPL128C"	"YPL128C"	306533	308221	"TTAGGG repeat-Binding Factor"	NA	NA	NA
"ATG15"	"ATG15"	"YCR068W"	237214	238776	"lipase"	"triacylglycerol degradation"	NA	"a triglyceride + H2O => a 1,2-diglyceride + a fatty acid + H+"
"MTR4"	"YJL050W"	"YJL050W"	342522	345743	"Mrna TRansport"	NA	NA	NA
"RPS17B"	"YDR447C"	"YDR447C"	1354829	1355553	"Ribosomal Protein of the Small subunit"	NA	NA	NA
"OSH6"	"YKR003W"	"YKR003W"	445381	446727	"OxySterol binding protein Homolog"	NA	NA	NA
"HMG1"	"HMG1"	"YML075C"	115734	118898	"HMG-CoA reductase 1"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis // mevalonate pathway"	"1.1.1.34"	"(R)-mevalonate + coenzyme A + 2 NADP+ <=> (S)-3-hydroxy-3-methylglutaryl-CoA + 2 NADPH + 2 H+"
"AUA1"	"YFL010W-A"	"YFL010W-A"	114990	115274	"AUA1"	NA	NA	NA
"BOI1"	"YBL085W"	"YBL085W"	63876	66818	"Bem1 (One) Interacting protein"	NA	NA	NA
"CSR1"	"YLR380W"	"YLR380W"	878282	879508	"Chs5 Spa2 Rescue"	NA	NA	NA
"DSS1"	"YMR287C"	"YMR287C"	842436	845345	"Deletion of SUV3 Supressor"	NA	NA	NA
"RRP40"	"YOL142W"	"YOL142W"	55558	56280	"Ribosomal RNA Processing"	NA	NA	NA
"PRP11"	"YDL043C"	"YDL043C"	375680	376480	"Pre-mRNA Processing"	NA	NA	NA
"YOL057W"	"YOL057W"	"YOL057W"	220767	222902	"YOL057W"	NA	"3.4.14.4"	"an oligopeptide + H2O => a peptide + a dipeptide"
"MES1"	"YGR264C"	"YGR264C"	1019598	1021853	"MEthionyl-tRNA Synthetase"	"tRNA charging"	NA	"elongator tRNAmet + L-methionine + ATP => an L-methionyl-[elongator tRNAmet] + AMP + diphosphate"
"SSE1"	"YPL106C"	"YPL106C"	350194	352275	"SSE1"	NA	NA	NA
"APE3"	"APE3"	"YBR286W"	774700	776313	"aminopeptidase yscIII"	NA	NA	NA
"APS3"	"YJL024C"	"YJL024C"	395931	396592	"clathrin Associated Protein complex Small subunit"	NA	NA	NA
"HKR1"	"YDR420W"	"YDR420W"	1306267	1311675	"Hansenula mrakii Killer toxin Resistant"	NA	NA	NA
"EAP1"	"YKL204W"	"YKL204W"	53704	55602	"EIF4E-Associated Protein"	NA	NA	NA
"NIT3"	"NIT3"	"YLR351C"	829489	830364	"nitrilase"	"indole-3-acetate biosynthesis V (bacteria and fungi)"	" 3.5.5.1"	"a nitrile + 2 H2O = a carboxylate + ammonium;indole-3-acetonitrile + 2 H2O => ammonium + indole-3-acetate"
"RRT5"	"YFR032C"	"YFR032C"	222090	222959	"Regulator of rDNA Transcription"	NA	NA	NA
"SHP1"	"YBL058W"	"YBL058W"	111437	112708	"Suppressor of High-copy PP1"	NA	NA	NA
"RSC2"	"YLR357W"	"YLR357W"	841331	844000	"Remodel the Structure of Chromatin"	NA	NA	NA
"PRP24"	"YMR268C"	"YMR268C"	802888	804222	"Pre-mRNA Processing"	NA	NA	NA
"RPL18A"	"YOL120C"	"YOL120C"	93395	94402	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"CDC7"	"YDL017W"	"YDL017W"	424209	425732	"Cell Division Cycle"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
"SMC5"	"YOL034W"	"YOL034W"	259923	263204	"Structural Maintenance of Chromosomes"	NA	NA	NA
"PEX21"	"YGR239C"	"YGR239C"	969187	970053	"PEroXin"	NA	NA	NA
"ELP3"	"YPL086C"	"YPL086C"	384773	386446	"ELongator Protein"	NA	NA	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"
"ARA1"	"ARA1"	"YBR149W"	539987	541021	"D-arabinose dehydrogenase, light chain // D-arabinose dehydrogenase, heavy chain"	"dehydro-D-arabinono-1,4-lactone biosynthesis"	"1.1.1.117"	"D-arabinofuranose + NAD(P)+ => D-arabinono-1,4-lactone + NAD(P)H + H+"
"YPS6"	"YIR039C"	"YIR039C"	430498	432111	"YaPSin"	NA	NA	NA
"NCB2"	"YDR397C"	"YDR397C"	1266366	1266898	"Negative Cofactor B"	NA	NA	NA
"LOT5"	"YKL183W"	"YKL183W"	98721	99641	"LOw Temperature-responsive"	NA	NA	NA
"LIP2"	"LIP2"	"YLR239C"	616332	617318	"octanoyl transferase"	"superpathway of lipoate biosynthesis and incorporation (PDH, KGDH, GCV) // lipoate biosynthesis and incorporation (glycine cleavage system) // lipoate biosynthesis and incorporation I"	NA	"an octanoyl-[acp] + a [lipoyl-carrier protein]-L-lysine => a [lipoyl-carrier protein] N6-octanoyl-L-lysine + a holo-[acyl-carrier protein] + H+;an octanoyl-[acp] + [glycine cleavage system lipoyl-carrier protein]-L-lysine => a [glycine-cleavage complex H protein] N6-octanoyl-L-lysine + a holo-[acyl-carrier protein] + H+"
"FAR7"	"YFR008W"	"YFR008W"	160535	161200	"Factor ARrest"	NA	NA	NA
"YBL036C"	"YBL036C"	"YBL036C"	150447	151220	"YBL036C"	NA	NA	NA
"REC102"	"YLR329W"	"YLR329W"	786442	787333	"RECombination"	NA	NA	NA
"CUS1"	"YMR240C"	"YMR240C"	749930	751240	"Cold sensitive U2 snRNA Suppressor"	NA	NA	NA
"YOL098C"	"YOL098C"	"YOL098C"	132725	135838	"YOL098C"	NA	NA	NA
"MOS1"	"YCL057C-A"	"YCL057C-A"	24032	24325	"Mitochondrial Organizing Structure"	NA	NA	NA
"IRC10"	"YOL015W"	"YOL015W"	297078	298838	"Increased Recombination Centers"	NA	NA	NA
"CRM1"	"YGR218W"	"YGR218W"	932541	935795	"Chromosome Region Maintenance"	NA	NA	NA
"PDR12"	"YPL058C"	"YPL058C"	445842	450377	"Pleiotropic Drug Resistance"	NA	NA	NA
"IPP1"	"IPP1"	"YBR011C"	257112	257975	"inorganic pyrophosphatase"	NA	NA	"diphosphate + H2O => 2 phosphate + H+"
"MSL1"	"YIR009W"	"YIR009W"	374525	374860	"MUD Synthetic Lethal"	NA	NA	NA
"LSM6"	"YDR378C"	"YDR378C"	1229349	1229609	"Like SM"	NA	NA	NA
"KDX1"	"YKL161C"	"YKL161C"	149386	150687	"Kinase Dead X-talker"	NA	NA	NA
"ERG27"	"ERG27"	"YLR100W"	341810	342853	"3-keto sterol reductase"	"superpathway of ergosterol biosynthesis // zymosterol biosynthesis"	NA	"3-dehydro-4-methylzymosterol + NADPH + H+ => 4alpha-methyl-zymosterol + NADP+;5alpha-cholesta-8,24-dien-3-one + NADPH + H+ => zymosterol + NADP+"
"HXT10"	"YFL011W"	"YFL011W"	112345	113985	"HeXose Transporter"	NA	NA	NA
"FUS3"	"YBL016W"	"YBL016W"	192451	193512	"cell FUSion"	NA	"2.7.11.24"	"ATP + a protein containing an (L-serine/L-threonine)-L-proline motif = ADP + a protein containing a phosphorylated (L-serine/L-threonine)-L-proline motif + H+"
"HRI1"	"YLR301W"	"YLR301W"	730825	731559	"HRr25 Interacting"	NA	NA	NA
"FSH2"	"YMR222C"	"YMR222C"	715638	716309	"Family of Serine Hydrolases"	NA	NA	NA
"MDM20"	"YOL076W"	"YOL076W"	187024	189414	"Mitochondrial Distribution and Morphology"	NA	NA	"an N-terminal-L-methionyl-L-asparaginyl-[protein] + acetyl-CoA => an N-terminal-Nalpha-acetyl-L-methionyl-L-asparaginyl-[protein] + coenzyme A + H+;an N-terminal-L-methionyl-L-aspartyl-[protein] + acetyl-CoA => an N-terminal-Nalpha-acetyl-L-methionyl-L-aspartyl-[protein] + coenzyme A + H+;an N-terminal-L-methionyl-L-glutaminyl-[protein] + acetyl-CoA => an N-terminal Nalpha-acetyl-L-methionyl-L-glutaminyl-[protein] + coenzyme A + H+;an N-terminal-L-methionyl-L-glutamyl-[protein] + acetyl-CoA => an N-terminal Nalpha-acetyl-L-methionyl-L-glutamyl-[protein] + coenzyme A + H+"
"ABP1"	"YCR088W"	"YCR088W"	265068	266846	"Actin Binding Protein"	NA	NA	NA
"YSF3"	"YNL138W-A"	"YNL138W-A"	366033	366412	"Yeast Splicing Factor 3b subunit"	NA	NA	NA
"SKI6"	"YGR195W"	"YGR195W"	888882	889622	"SuperKIller"	NA	NA	NA
"PMA2"	"YPL036W"	"YPL036W"	482843	485686	"Plasma Membrane ATPase"	NA	"3.6.3.6"	"ATP + H+[in] + H2O = ADP + phosphate + 2 H+[out]"
"POP5"	"POP5"	"YAL033W"	82706	83227	"ribonuclease P"	NA	" 3.1.26.5"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment;a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"
"RRD1"	"YIL153W"	"YIL153W"	55198	56379	"Resistant to Rapamycin Deletion"	NA	NA	"a [protein]-L-proline (omega = 180) <=> a [protein]-L-proline (omega = 0)"
"SPC110"	"YDR356W"	"YDR356W"	1186107	1188941	"Spindle Pole Component"	NA	NA	NA
"APL2"	"YKL135C"	"YKL135C"	186460	188640	"clathrin Adaptor Protein complex Large chain"	NA	NA	NA
"SPO14"	"SPO14"	"YKR031C"	501344	506395	"phospholipase D"	"phospholipids degradation // choline biosynthesis"	NA	"a phosphatidylcholine + H2O => a 1,2-diacyl-sn-glycerol 3-phosphate + choline + H+"
"YFL034W"	"YFL034W"	"YFL034W"	65477	68698	"YFL034W"	NA	NA	NA
"ERP1"	"YAR002C-A"	"YAR002C-A"	154065	154724	"Emp24p/Erv25p Related Protein"	NA	NA	NA
"YCS4"	"YLR272C"	"YLR272C"	683672	687202	"Yeast Condensin Subunit"	NA	NA	NA
"CLN1"	"YMR199W"	"YMR199W"	662644	664284	"CycLiN"	NA	NA	NA
"YIH1"	"YCR059C"	"YCR059C"	223454	224230	"Yeast Impact Homolog"	NA	NA	NA
"NOG2"	"YNR053C"	"YNR053C"	721120	723112	"NucleOlar G-protein"	NA	NA	NA
"TRS65"	"YGR166W"	"YGR166W"	830515	832197	"TRapp Subunit"	NA	NA	NA
"MRPS16"	"YPL013C"	"YPL013C"	528985	529350	"Mitochondrial Ribosomal Protein, Small subunit"	NA	NA	NA
"THI11"	"YJR156C"	"YJR156C"	728574	729596	"MONOMER3O-9135"	"superpathway of thiamin diphosphate biosynthesis III (eukaryotes) // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis"	NA	"[an HMP-P synthase]-L-histidine + pyridoxal 5'-phosphate => 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + an HMP-P synthase"
"FLX1"	"YIL134W"	"YIL134W"	97395	98330	"FLavin eXchange"	NA	NA	NA
"YDR333C"	"YDR333C"	"YDR333C"	1133260	1135431	"Ribosome Quality Control 1"	NA	NA	NA
"KTI12"	"YKL110C"	"YKL110C"	228939	229880	"Kluveromyces lactis Toxin Insensitive"	NA	NA	NA
"AAT1"	"AAT1"	"YKL106W"	237536	238891	"aspartate aminotransferase"	"aspartate biosynthesis // aspartate degradation II"	NA	"2-oxoglutarate + L-aspartate <=> oxaloacetate + L-glutamate;L-aspartate + 2-oxoglutarate = L-glutamate + oxaloacetate;L-cysteate + 2-oxoglutarate = 3-sulfopyruvate + L-glutamate;L-phenylalanine + 2-oxoglutarate <=> 2-oxo-3-phenylpropanoate + L-glutamate"
"SEG2"	"YKL105C"	"YKL105C"	239185	242583	"Stability of Eisosomes Guaranteed"	NA	NA	NA
"CYT2"	"CYT2"	"YKL087C"	277189	277863	"cytochrome c1 heme lyase"	NA	NA	"a c-type cytochrome <=> heme c + an apo-[c-type cytochrome]"
"SNO3"	"YFL060C"	"YFL060C"	10301	10969	"SNZ proximal Open reading frame"	NA	NA	NA
"ECM1"	"YAL059W"	"YAL059W"	36509	37147	"ExtraCellular Mutant"	NA	NA	NA
"THI7"	"YLR237W"	"YLR237W"	612367	614163	"THIamine metabolism"	NA	NA	NA
"PAI3"	"YMR174C"	"YMR174C"	610159	610365	"Proteinase A Inhibitor"	NA	NA	NA
"RHB1"	"YCR027C"	"YCR027C"	167370	167999	"RHeB homolog"	NA	NA	NA
"MPP6"	"YNR024W"	"YNR024W"	672409	672969	"M-Phase Phosphoprotein 6 homologue"	NA	NA	NA
"LSB1"	"YGR136W"	"YGR136W"	762428	763153	"Las Seventeen Binding protein"	NA	NA	NA
