"Gene.Name"	"Accession.1"	"Left.End.Position"	"Right.End.Position"	"Product"	"Pathways.of.gene"	"gene_standard_name"	"check"
"RRF1"	"YHR038W"	184066	184758	"Ribosome Recycling Factor"	""	"YHR038W"	TRUE
"HRR25"	"YPL204W"	164276	165760	"HRR25"	""	"YPL204W"	TRUE
"YAK1"	"YJL141C"	147967	150390	"Yet Another Kinase"	""	"YJL141C"	TRUE
"PPM1"	"PPM1"	1332983	1333969	"carboxy methyl transferase"	""	"YDR435C"	FALSE
"HSP31"	"YDR533C"	1501447	1502160	"Heat-Shock Protein"	""	"YDR533C"	TRUE
"SRP40"	"YKR092C"	612665	613885	"Serine Rich Protein"	""	"YKR092C"	TRUE
"ARE2"	"ARE2"	665339	667267	"acyl-CoA cholesterol acyltransferase"	"sterol:steryl ester interconversion"	"YNR019W"	FALSE
"LSM3"	"YLR438C-A"	1013909	1014178	"Like SM"	""	"YLR438C-A"	TRUE
"SEC18"	"YBR080C"	398614	400890	"SECretory"	""	"YBR080C"	TRUE
"OCA2"	"YNL056W"	517249	517842	"Oxidant-induced Cell cycle Arrest"	""	"YNL056W"	TRUE
"MAD1"	"YGL086W"	347119	349368	"Mitotic Arrest-Deficient"	""	"YGL086W"	TRUE
"VAM10"	"YOR068C"	453869	454213	"VAcuolar Morphogenesis"	""	"YOR068C"	TRUE
"PPH21"	"YDL134C"	219662	220771	"Protein PHosphatase"	""	"YDL134C"	TRUE
"VPS29"	"YHR012W"	129481	130448	"Vacuolar Protein Sorting"	""	"YHR012W"	TRUE
"MRN1"	"YPL184C"	195950	197788	"Multicopy supressor of RSC-Nhp6 synthetic lethality"	""	"YPL184C"	TRUE
"MDV1"	"YJL112W"	205305	207449	"Mitochondrial DiVision"	""	"YJL112W"	TRUE
"LYS4"	"LYS4"	931129	933210	"homoaconitase"	"L-lysine biosynthesis IV"	"YDR234W"	FALSE
"GMC1"	"YDR506C"	1459728	1461554	"Grand Meiotic recombination Cluster"	""	"YDR506C"	TRUE
"DRE2"	"YKR071C"	574934	575980	"Derepressed for Ribosomal protein S14 Expression"	""	"YKR071C"	TRUE
"CHS1"	"CHS1"	276502	279897	"chitin synthase 1"	"chitin biosynthesis"	"YNL192W"	FALSE
"ECM7"	"YLR443W"	1022625	1023971	"ExtraCellular Mutant"	""	"YLR443W"	TRUE
"MNP1"	"YGL068W"	375087	375671	"Mitochondrial-Nucleoid Protein"	""	"YGL068W"	TRUE
"MUM2"	"YBR057C"	352193	353293	"MUddled Meiosis"	""	"YBR057C"	TRUE
"CRZ1"	"YNL027W"	579580	581616	"Calcineurin-Responsive Zinc finger"	""	"YNL027W"	TRUE
"WHI2"	"YOR043W"	410870	412330	"WHIskey"	""	"YOR043W"	TRUE
"ATG20"	"YDL113C"	256633	258555	"AuTophaGy related"	""	"YDL113C"	TRUE
"MUP3"	"YHL036W"	26241	27881	"Methionine UPtake"	""	"YHL036W"	TRUE
"SET6"	"YPL165C"	237956	239077	"SET domain-containing"	""	"YPL165C"	TRUE
"SRS2"	"YJL092W"	257423	260947	"Suppressor of Rad Six"	""	"YJL092W"	TRUE
"ARO3"	"ARO3"	521816	522928	"3-deoxy-D-arabine-heptulosonate-7-phosphate synthase"	"superpathway of chorismate metabolism // superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // chorismate biosynthesis // 3-dehydroquinate biosynthesis"	"YDR035W"	FALSE
"VPS60"	"YDR486C"	1427431	1428120	"Vacuolar Protein Sorting"	""	"YDR486C"	TRUE
"FMP46"	"YKR049C"	526830	527231	"Found in Mitochondrial Proteome"	""	"YKR049C"	TRUE
"PRC1"	"PRC1"	861922	863520	"carboxypeptidase Y (proteinase C)"	""	"YMR297W"	FALSE
"YLR422W"	"YLR422W"	965897	971695	"DOCK1 homolog"	""	"YLR422W"	TRUE
"RNA15"	"YGL044C"	416146	417036	"RNA synthesis"	""	"YGL044C"	TRUE
"RPL4A"	"YBR031W"	300166	301254	"Ribosomal Protein of the Large subunit"	""	"YBR031W"	TRUE
"PET8"	"YNL003C"	624975	625829	"PETite colonies"	""	"YNL003C"	TRUE
"AHC1"	"YOR023C"	376012	377712	"Ada Histone acetyltransferase complex Component"	""	"YOR023C"	TRUE
"NUR1"	"YDL089W"	296820	298274	"NUclear Rim1"	""	"YDL089W"	TRUE
"DUR3"	"YHL016C"	72037	74244	"Degradation of URea"	""	"YHL016C"	TRUE
"NOP53"	"YPL146C"	276162	277529	"NucleOlar Protein"	""	"YPL146C"	TRUE
"QRI7"	"QRI7"	273653	274876	"sialoglycoprotease"	""	"YDL104C"	FALSE
"NET1"	"YJL076W"	295245	298814	"Nucleolar silencing Establishing factor and Telophase regulator"	""	"YJL076W"	TRUE
"PKH3"	"YDR466W"	1395121	1397817	"Pkb-activating Kinase Homolog"	""	"YDR466W"	TRUE
"RPC37"	"YKR025W"	487770	488618	"RNA Polymerase C"	""	"YKR025W"	TRUE
"FOL3"	"FOL3"	494999	496282	"FOLic acid synthesis"	"superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis"	"YMR113W"	FALSE
"JAC1"	"YGL018C"	459110	459664	"co-chaperone for [Fe-S] cluster biosynthesis"	"iron-sulfur cluster biosynthesis"	"YGL018C"	TRUE
"GPI18"	"YBR004C"	244366	245667	"GlycosylPhosphatidylInositol"	""	"YBR004C"	TRUE
"YMR310C"	"YMR310C"	895716	896669	"YMR310C"	""	"YMR310C"	TRUE
"YSP3"	"YOR003W"	331455	332891	"Yeast Subtilisin-like Protease III"	""	"YOR003W"	TRUE
"PEX19"	"YDL065C"	336249	337277	"PEroXisome related"	""	"YDL065C"	TRUE
"PAU12"	"YGR294W"	1080306	1080668	"seriPAUperin"	""	"YGR294W"	TRUE
"TBF1"	"YPL128C"	306533	308221	"TTAGGG repeat-Binding Factor"	""	"YPL128C"	TRUE
"ATG15"	"ATG15"	237214	238776	"lipase"	"triacylglycerol degradation"	"YCR068W"	FALSE
"MTR4"	"YJL050W"	342522	345743	"Mrna TRansport"	""	"YJL050W"	TRUE
"RPS17B"	"YDR447C"	1354829	1355553	"Ribosomal Protein of the Small subunit"	""	"YDR447C"	TRUE
"OSH6"	"YKR003W"	445381	446727	"OxySterol binding protein Homolog"	""	"YKR003W"	TRUE
"HMG1"	"HMG1"	115734	118898	"HMG-CoA reductase 1"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis // mevalonate pathway"	"YML075C"	FALSE
"AUA1"	"YFL010W-A"	114990	115274	"AUA1"	""	"YFL010W-A"	TRUE
"BOI1"	"YBL085W"	63876	66818	"Bem1 (One) Interacting protein"	""	"YBL085W"	TRUE
"CSR1"	"YLR380W"	878282	879508	"Chs5 Spa2 Rescue"	""	"YLR380W"	TRUE
"DSS1"	"YMR287C"	842436	845345	"Deletion of SUV3 Supressor"	""	"YMR287C"	TRUE
"RRP40"	"YOL142W"	55558	56280	"Ribosomal RNA Processing"	""	"YOL142W"	TRUE
"PRP11"	"YDL043C"	375680	376480	"Pre-mRNA Processing"	""	"YDL043C"	TRUE
"YOL057W"	"YOL057W"	220767	222902	"YOL057W"	""	"YOL057W"	TRUE
"MES1"	"YGR264C"	1019598	1021853	"MEthionyl-tRNA Synthetase"	"tRNA charging"	"YGR264C"	TRUE
"SSE1"	"YPL106C"	350194	352275	"SSE1"	""	"YPL106C"	TRUE
"APE3"	"APE3"	774700	776313	"aminopeptidase yscIII"	""	"YBR286W"	FALSE
"APS3"	"YJL024C"	395931	396592	"clathrin Associated Protein complex Small subunit"	""	"YJL024C"	TRUE
"HKR1"	"YDR420W"	1306267	1311675	"Hansenula mrakii Killer toxin Resistant"	""	"YDR420W"	TRUE
"EAP1"	"YKL204W"	53704	55602	"EIF4E-Associated Protein"	""	"YKL204W"	TRUE
"NIT3"	"NIT3"	829489	830364	"nitrilase"	"indole-3-acetate biosynthesis V (bacteria and fungi)"	"YLR351C"	FALSE
"RRT5"	"YFR032C"	222090	222959	"Regulator of rDNA Transcription"	""	"YFR032C"	TRUE
"SHP1"	"YBL058W"	111437	112708	"Suppressor of High-copy PP1"	""	"YBL058W"	TRUE
"RSC2"	"YLR357W"	841331	844000	"Remodel the Structure of Chromatin"	""	"YLR357W"	TRUE
"PRP24"	"YMR268C"	802888	804222	"Pre-mRNA Processing"	""	"YMR268C"	TRUE
"RPL18A"	"YOL120C"	93395	94402	"Ribosomal Protein of the Large subunit"	""	"YOL120C"	TRUE
"CDC7"	"YDL017W"	424209	425732	"Cell Division Cycle"	""	"YDL017W"	TRUE
"SMC5"	"YOL034W"	259923	263204	"Structural Maintenance of Chromosomes"	""	"YOL034W"	TRUE
"PEX21"	"YGR239C"	969187	970053	"PEroXin"	""	"YGR239C"	TRUE
"ELP3"	"YPL086C"	384773	386446	"ELongator Protein"	""	"YPL086C"	TRUE
"ARA1"	"ARA1"	539987	541021	"D-arabinose dehydrogenase, light chain // D-arabinose dehydrogenase, heavy chain"	"dehydro-D-arabinono-1,4-lactone biosynthesis"	"YBR149W"	FALSE
"YPS6"	"YIR039C"	430498	432111	"YaPSin"	""	"YIR039C"	TRUE
"NCB2"	"YDR397C"	1266366	1266898	"Negative Cofactor B"	""	"YDR397C"	TRUE
"LOT5"	"YKL183W"	98721	99641	"LOw Temperature-responsive"	""	"YKL183W"	TRUE
"LIP2"	"LIP2"	616332	617318	"octanoyl transferase"	"superpathway of lipoate biosynthesis and incorporation (PDH, KGDH, GCV) // lipoate biosynthesis and incorporation (glycine cleavage system) // lipoate biosynthesis and incorporation I"	"YLR239C"	FALSE
"FAR7"	"YFR008W"	160535	161200	"Factor ARrest"	""	"YFR008W"	TRUE
"YBL036C"	"YBL036C"	150447	151220	"YBL036C"	""	"YBL036C"	TRUE
"REC102"	"YLR329W"	786442	787333	"RECombination"	""	"YLR329W"	TRUE
"CUS1"	"YMR240C"	749930	751240	"Cold sensitive U2 snRNA Suppressor"	""	"YMR240C"	TRUE
"YOL098C"	"YOL098C"	132725	135838	"YOL098C"	""	"YOL098C"	TRUE
"MOS1"	"YCL057C-A"	24032	24325	"Mitochondrial Organizing Structure"	""	"YCL057C-A"	TRUE
"IRC10"	"YOL015W"	297078	298838	"Increased Recombination Centers"	""	"YOL015W"	TRUE
"CRM1"	"YGR218W"	932541	935795	"Chromosome Region Maintenance"	""	"YGR218W"	TRUE
"PDR12"	"YPL058C"	445842	450377	"Pleiotropic Drug Resistance"	""	"YPL058C"	TRUE
"IPP1"	"IPP1"	257112	257975	"inorganic pyrophosphatase"	""	"YBR011C"	FALSE
"MSL1"	"YIR009W"	374525	374860	"MUD Synthetic Lethal"	""	"YIR009W"	TRUE
"LSM6"	"YDR378C"	1229349	1229609	"Like SM"	""	"YDR378C"	TRUE
"KDX1"	"YKL161C"	149386	150687	"Kinase Dead X-talker"	""	"YKL161C"	TRUE
"ERG27"	"ERG27"	341810	342853	"3-keto sterol reductase"	"superpathway of ergosterol biosynthesis // zymosterol biosynthesis"	"YLR100W"	FALSE
"HXT10"	"YFL011W"	112345	113985	"HeXose Transporter"	""	"YFL011W"	TRUE
"FUS3"	"YBL016W"	192451	193512	"cell FUSion"	""	"YBL016W"	TRUE
"HRI1"	"YLR301W"	730825	731559	"HRr25 Interacting"	""	"YLR301W"	TRUE
"FSH2"	"YMR222C"	715638	716309	"Family of Serine Hydrolases"	""	"YMR222C"	TRUE
"MDM20"	"YOL076W"	187024	189414	"Mitochondrial Distribution and Morphology"	""	"YOL076W"	TRUE
"ABP1"	"YCR088W"	265068	266846	"Actin Binding Protein"	""	"YCR088W"	TRUE
"YSF3"	"YNL138W-A"	366033	366412	"Yeast Splicing Factor 3b subunit"	""	"YNL138W-A"	TRUE
"SKI6"	"YGR195W"	888882	889622	"SuperKIller"	""	"YGR195W"	TRUE
"PMA2"	"YPL036W"	482843	485686	"Plasma Membrane ATPase"	""	"YPL036W"	TRUE
"POP5"	"POP5"	82706	83227	"ribonuclease P"	""	"YAL033W"	FALSE
"RRD1"	"YIL153W"	55198	56379	"Resistant to Rapamycin Deletion"	""	"YIL153W"	TRUE
"SPC110"	"YDR356W"	1186107	1188941	"Spindle Pole Component"	""	"YDR356W"	TRUE
"APL2"	"YKL135C"	186460	188640	"clathrin Adaptor Protein complex Large chain"	""	"YKL135C"	TRUE
"SPO14"	"SPO14"	501344	506395	"phospholipase D"	"phospholipids degradation // choline biosynthesis"	"YKR031C"	FALSE
"YFL034W"	"YFL034W"	65477	68698	"YFL034W"	""	"YFL034W"	TRUE
"ERP1"	"YAR002C-A"	154065	154724	"Emp24p/Erv25p Related Protein"	""	"YAR002C-A"	TRUE
"YCS4"	"YLR272C"	683672	687202	"Yeast Condensin Subunit"	""	"YLR272C"	TRUE
"CLN1"	"YMR199W"	662644	664284	"CycLiN"	""	"YMR199W"	TRUE
"YIH1"	"YCR059C"	223454	224230	"Yeast Impact Homolog"	""	"YCR059C"	TRUE
"NOG2"	"YNR053C"	721120	723112	"NucleOlar G-protein"	""	"YNR053C"	TRUE
"TRS65"	"YGR166W"	830515	832197	"TRapp Subunit"	""	"YGR166W"	TRUE
"MRPS16"	"YPL013C"	528985	529350	"Mitochondrial Ribosomal Protein, Small subunit"	""	"YPL013C"	TRUE
"THI11"	"YJR156C"	728574	729596	"MONOMER3O-9135"	"superpathway of thiamin diphosphate biosynthesis III (eukaryotes) // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis"	"YJR156C"	TRUE
"FLX1"	"YIL134W"	97395	98330	"FLavin eXchange"	""	"YIL134W"	TRUE
"YDR333C"	"YDR333C"	1133260	1135431	"Ribosome Quality Control 1"	""	"YDR333C"	TRUE
"KTI12"	"YKL110C"	228939	229880	"Kluveromyces lactis Toxin Insensitive"	""	"YKL110C"	TRUE
"AAT1"	"AAT1"	237536	238891	"aspartate aminotransferase"	"aspartate biosynthesis // aspartate degradation II"	"YKL106W"	FALSE
"SEG2"	"YKL105C"	239185	242583	"Stability of Eisosomes Guaranteed"	""	"YKL105C"	TRUE
"CYT2"	"CYT2"	277189	277863	"cytochrome c1 heme lyase"	""	"YKL087C"	FALSE
"SNO3"	"YFL060C"	10301	10969	"SNZ proximal Open reading frame"	""	"YFL060C"	TRUE
"ECM1"	"YAL059W"	36509	37147	"ExtraCellular Mutant"	""	"YAL059W"	TRUE
"THI7"	"YLR237W"	612367	614163	"THIamine metabolism"	""	"YLR237W"	TRUE
"PAI3"	"YMR174C"	610159	610365	"Proteinase A Inhibitor"	""	"YMR174C"	TRUE
"RHB1"	"YCR027C"	167370	167999	"RHeB homolog"	""	"YCR027C"	TRUE
"MPP6"	"YNR024W"	672409	672969	"M-Phase Phosphoprotein 6 homologue"	""	"YNR024W"	TRUE
"LSB1"	"YGR136W"	762428	763153	"Las Seventeen Binding protein"	""	"YGR136W"	TRUE
"YRF1-8"	"YOR396W"	1085473	1090863	"YRF1-8"	""	"YOR396W"	TRUE
"HOS4"	"YIL112W"	151595	154846	"Hda One Similar"	""	"YIL112W"	TRUE
"SUM1"	"YDR310C"	1081128	1084316	"SUppresor of Mar1-1"	""	"YDR310C"	TRUE
"AI2"	"Q0055"	13818	18830	"AI2"	""	"Q0055"	TRUE
"TEF4"	"YKL081W"	282891	284455	"Translation Elongation Factor"	""	"YKL081W"	TRUE
"STE24"	"STE24"	642007	643368	"CAAX prenyl protease 1"	""	"YJR117W"	FALSE
"SBH2"	"YER019C-A"	194273	194539	"Sec61 beta homolog 2"	""	"YER019C-A"	TRUE
"MTW1"	"YAL034W-A"	79718	80587	"Mis TWelve-like"	""	"YAL034W-A"	TRUE
"TUB4"	"YLR212C"	564860	566281	"TUBulin"	""	"YLR212C"	TRUE
"NUP53"	"YMR153W"	564435	565862	"NUclear Pore"	""	"YMR153W"	TRUE
"MRPL32"	"YCR003W"	118620	119171	"Mitochondrial Ribosomal Protein, Large subunit"	""	"YCR003W"	TRUE
"COS1"	"YNL336W"	8330	9475	"COnserved Sequence"	""	"YNL336W"	TRUE
"SHY1"	"YGR112W"	717358	718527	"SURF Homolog of Yeast"	""	"YGR112W"	TRUE
"RAD17"	"YOR368W"	1026843	1028048	"RADiation sensitive"	""	"YOR368W"	TRUE
"AIM19"	"YIL087C"	199646	200119	"Altered Inheritance rate of Mitochondria"	""	"YIL087C"	TRUE
"NSE3"	"YDR288W"	1037195	1038106	"Non SMC Element"	""	"YDR288W"	TRUE
"AQY1"	"YPR192W"	921860	922777	"AQuaporin of Yeast"	""	"YPR192W"	TRUE
"TMA19"	"YKL056C"	334412	334915	"Translation Machinery Associated"	""	"YKL056C"	TRUE
"CPS1"	"CPS1"	97737	99467	"carboxypeptidase yscS"	""	"YJL172W"	FALSE
"BCK2"	"YER167W"	518216	520771	"Bypass of C Kinase"	""	"YER167W"	TRUE
"NTG1"	"YAL015C"	126903	128102	"eNdonuclease Three-like Glycosylase"	""	"YAL015C"	TRUE
"MMR1"	"YLR190W"	535214	536689	"Mitochondrial Myo2p Receptor-related"	""	"YLR190W"	TRUE
"RRB1"	"YMR131C"	533163	534698	"Regulator of Ribosome Biogenesis"	""	"YMR131C"	TRUE
"POF1"	"YCL047C"	43661	44437	"Promoter Of Filamentation"	""	"YCL047C"	TRUE
"EMW1"	"YNL313C"	45308	48022	"Essential for Maintenance of the cell Wall"	""	"YNL313C"	TRUE
"VAS1"	"YGR094W"	672186	675500	"VAlyl-tRNA Synthetase"	"tRNA charging"	"YGR094W"	TRUE
"TYE7"	"YOR344C"	977194	978069	"Ty-mediated Expression"	""	"YOR344C"	TRUE
"RGI2"	"YIL057C"	247902	248396	"Respiratory growth induced"	""	"YIL057C"	TRUE
"AKR1"	"YDR264C"	996029	998323	"AnKyrin Repeat-containing protein"	""	"YDR264C"	TRUE
"JIP5"	"YPR169W"	878690	880168	"Jumonji domain Interacting Protein"	""	"YPR169W"	TRUE
"TTI1"	"YKL033W"	375456	378572	"Two Tel2-Interacting protein"	""	"YKL033W"	TRUE
"TAD2"	"TAD2"	380249	381001	"tRNA-specific adenosine deaminase subunit"	""	"YJL035C"	FALSE
"SCC4"	"YER147C"	462968	464842	"Sister Chromatid Cohesion"	""	"YER147C"	TRUE
"GRX5"	"YPL059W"	444579	445031	"mitochondrial monothiol glutaredoxin 5 // oxidized glutaredoxin 5"	"glutathione-glutaredoxin redox reactions // glutathione-glutaredoxin system"	"YPL059W"	TRUE
"STM1"	"YLR150W"	440467	441288	"Suppressor of tom1"	""	"YLR150W"	TRUE
"MYO5"	"YMR109W"	486587	490246	"MYOsin"	""	"YMR109W"	TRUE
"NFS1"	"YCL017C"	92777	94270	"L-cysteine desulfurase"	"iron-sulfur cluster biosynthesis // tRNA-uridine 2-thiolation (yeast mitochondria)"	"YCL017C"	TRUE
"RIM21"	"YNL294C"	78659	80260	"Regulator of IME2"	""	"YNL294C"	TRUE
"PRP38"	"YGR075C"	636147	636875	"Pre-mRNA Processing"	""	"YGR075C"	TRUE
"GNT1"	"YOR320C"	913619	915094	"GlcNAc Transferase"	""	"YOR320C"	TRUE
"CST6"	"YIL036W"	285666	287429	"Chromosome STability"	""	"YIL036W"	TRUE
"SNU56"	"YDR240C"	943674	945152	"Small NUclear ribonucleoprotein associated"	""	"YDR240C"	TRUE
"NOC4"	"YPR144C"	819765	821423	"NucleOlar Complex associated"	""	"YPR144C"	TRUE
"MRT4"	"YKL009W"	426242	426952	"mRNA Turnover 4"	""	"YKL009W"	TRUE
"SUC2"	"SUC2"	37385	38983	"invertase"	"sucrose degradation III (sucrose invertase) // sucrose degradation"	"YIL162W"	FALSE
"LCP5"	"YER127W"	414481	415554	"Lethal with Conditional Pap1"	""	"YER127W"	TRUE
"APC2"	"YLR127C"	395758	398319	"Anaphase Promoting Complex"	""	"YLR127C"	TRUE
"SEG1"	"YMR086W"	439208	442090	"Stability of Eisosomes Guaranteed"	""	"YMR086W"	TRUE
"RPL19A"	"YBR084C-A"	414186	415261	"Ribosomal Protein of the Large subunit"	""	"YBR084C-A"	TRUE
"SEC2"	"YNL272C"	126805	129084	"SECretory"	""	"YNL272C"	TRUE
"SCM4"	"YGR049W"	591314	591877	"Suppressor of Cdc4 Mutation"	""	"YGR049W"	TRUE
"MUM3"	"YOR298W"	875599	877038	"MUddled Meiosis"	""	"YOR298W"	TRUE
"MNT3"	"YIL014W"	326103	327995	"&alpha;-1,3-mannosyltransferase MMN3"	"protein <I>O</i>-mannosylation I (yeast)"	"YIL014W"	TRUE
"ADR1"	"YDR216W"	895035	899006	"Alcohol Dehydrogenase Regulator"	""	"YDR216W"	TRUE
"AXL1"	"YPR122W"	782045	785671	"AXiaL budding"	""	"YPR122W"	TRUE
"RPS4A"	"YJR145C"	702027	703068	"Ribosomal Protein of the Small subunit"	""	"YJR145C"	TRUE
"FAA3"	"FAA3"	339344	341428	"acyl-CoA synthase"	"fatty acid activation // stearate biosynthesis I (animals and fungi) // fatty acid oxidation (non-cyclic) // fatty acid &beta;-oxidation (peroxisome)"	"YIL009W"	FALSE
"FLO8"	"YER109C"	375215	377614	"FLOcculation"	""	"YER109C"	TRUE
"ICT1"	"YLR099C"	339744	340928	"Increased Copper Tolerance"	""	"YLR099C"	TRUE
"SOV1"	"YMR066W"	401541	404237	"Synthesis Of Var"	""	"YMR066W"	TRUE
"MRPL27"	"YBR282W"	768240	768680	"Mitochondrial Ribosomal Protein, Large subunit"	""	"YBR282W"	TRUE
"TEX1"	"YNL253W"	170018	171286	"TrEX component"	""	"YNL253W"	TRUE
